category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Dec 2021,293419.6316,234315.7895,400210.5263,296631.5789
2 Dec 2021,267791.619,225396.8254,370222.2222,262507.9365
3 Dec 2021,248414.25,210333.3333,401666.6667,248750
4 Dec 2021,314382.05,236400,488200,303400
5 Dec 2021,365050.05,268900,552600,370700
6 Dec 2021,370618.0361,251759.0361,610698.7952,396554.2169
7 Dec 2021,338753.4667,226266.6667,520266.6667,327000
8 Dec 2021,316794.6962,248759.4937,442126.5823,315341.7722
9 Dec 2021,335103.9333,240666.6667,523200,317600
10 Dec 2021,719606,450333.3333,1049333.3333,771666.6667
11 Dec 2021,483600.1667,271333.3333,726000,436333.3333
12 Dec 2021,448579.2857,295333.3333,647238.0952,471571.4286
13 Dec 2021,316856.2875,243050,445800,342975
14 Dec 2021,268719.9508,214688.5246,409967.2131,274065.5738
15 Dec 2021,260799.3793,229517.2414,362620.6897,268551.7241
16 Dec 2021,485250.4516,278451.6129,798838.7097,506903.2258
17 Dec 2021,739706.6552,449655.1724,1210206.8966,668758.6207
18 Dec 2021,371867.7083,267916.6667,540500,337791.6667
19 Dec 2021,320391.2,234933.3333,491466.6667,326400
20 Dec 2021,714862.4375,380250,1244500,913250
21 Dec 2021,367248.2105,266000,572736.8421,365473.6842
22 Dec 2021,322509.931,238344.8276,550068.9655,325586.2069
23 Dec 2021,296655.3571,224142.8571,529642.8571,284035.7143
24 Dec 2021,362644.48,228640,809760,385320
25 Dec 2021,306316.6875,237750,490250,313875
26 Dec 2021,291279.1538,236923.0769,365538.4615,283846.1538
27 Dec 2021,308646.6,239733.3333,440355.5556,307555.5556
28 Dec 2021,473691.5,377200,702400,486000
29 Dec 2021,302094,241777.7778,440666.6667,295666.6667
30 Dec 2021,302160.9412,242352.9412,424705.8824,316470.5882
31 Dec 2021,297522.1111,240444.4444,416888.8889,289111.1111
