category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Dec 2021,40000,40000,40000,40000
2 Dec 2021,40000,40000,40000,40000
3 Dec 2021,40000,40000,40000,40000
4 Dec 2021,40000,40000,40000,40000
5 Dec 2021,40000,40000,40000,40000
6 Dec 2021,40000,40000,40000,40000
7 Dec 2021,40000,40000,40000,40000
8 Dec 2021,40022.5063,40000,40202.5316,40000
9 Dec 2021,40000,40000,40000,40000
10 Dec 2021,40000,40000,40000,40000
11 Dec 2021,40000,40000,40000,40000
12 Dec 2021,40000,40000,40000,40000
13 Dec 2021,40000,40000,40000,40000
14 Dec 2021,40000,40000,40000,40000
15 Dec 2021,40000,40000,40000,40000
16 Dec 2021,40000,40000,40000,40000
17 Dec 2021,40000,40000,40000,40000
18 Dec 2021,40000,40000,40000,40000
19 Dec 2021,40000,40000,40000,40000
20 Dec 2021,40000,40000,40000,40000
21 Dec 2021,40000,40000,40000,40000
22 Dec 2021,40000,40000,40000,40000
23 Dec 2021,40060.4107,40000,40500,40000
24 Dec 2021,40000,40000,40000,40000
25 Dec 2021,40000,40000,40000,40000
26 Dec 2021,40000,40000,40000,40000
27 Dec 2021,40000,40000,40000,40000
28 Dec 2021,40000,40000,40000,40000
29 Dec 2021,40046.7778,40000,40888.8889,40000
30 Dec 2021,40000,40000,40000,40000
31 Dec 2021,40000,40000,40000,40000
