category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Dec 2021,42586.1111,40000,67555.5556,42444.4444
2 Dec 2021,44197.5781,40000,68875,43000
3 Dec 2021,40507.1667,40000,48583.3333,40916.6667
4 Dec 2021,46293.375,40000,96200,47350
5 Dec 2021,48510.625,40000,99400,52850
6 Dec 2021,48578,40000,93879.5181,46674.6988
7 Dec 2021,46703.7419,40000,85161.2903,42838.7097
8 Dec 2021,49237.45,40000,107800,50700
9 Dec 2021,51478.6897,40000,121793.1034,53931.0345
10 Dec 2021,47323.8529,40000,90705.8824,43411.7647
11 Dec 2021,44457.4286,40000,89142.8571,45857.1429
12 Dec 2021,42171.3953,40000,60558.1395,41953.4884
13 Dec 2021,46639.5116,40000,81860.4651,45674.4186
14 Dec 2021,41486.541,40000,59278.6885,41934.4262
15 Dec 2021,44471.431,40000,77310.3448,46482.7586
16 Dec 2021,48367.9714,40000,79885.7143,46457.1429
17 Dec 2021,47907.3548,40000,86322.5806,45483.871
18 Dec 2021,43982.9792,40000,74083.3333,43166.6667
19 Dec 2021,42009.4,40000,64533.3333,41733.3333
20 Dec 2021,50062.4118,40000,109647.0588,56470.5882
21 Dec 2021,42270.4872,40000,61435.8974,44410.2564
22 Dec 2021,52172.1935,40000,108516.129,51354.8387
23 Dec 2021,47923.8,40000,87854.5455,49854.5455
24 Dec 2021,44773.88,40000,76560,45720
25 Dec 2021,44463.4375,40000,71500,46250
26 Dec 2021,43603.6923,40000,78153.8462,43230.7692
27 Dec 2021,51141.4318,40000,101363.6364,49181.8182
28 Dec 2021,49583.5556,40000,111111.1111,62444.4444
29 Dec 2021,50553.3333,40000,103111.1111,59111.1111
30 Dec 2021,56314,40000,125411.7647,59647.0588
31 Dec 2021,43941,40000,71555.5556,44666.6667
