category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Dec 2021,0.0556,0,2.3889,0.5
2 Dec 2021,0.2656,0,1.9063,0.2031
3 Dec 2021,0.0208,0,1.0417,0.0208
4 Dec 2021,0.225,0,3,0.625
5 Dec 2021,0.925,0,4.65,0.95
6 Dec 2021,0.8072,0.012,4.6024,1.0361
7 Dec 2021,0.3226,0,2,0.129
8 Dec 2021,0.3,0,2.9625,0.3625
9 Dec 2021,0.1724,0,2.6897,0.4138
10 Dec 2021,1,0.0294,4.3529,1.3235
11 Dec 2021,0.3571,0,2.9286,0.6429
12 Dec 2021,0.7442,0.0233,3.8372,0.6744
13 Dec 2021,0.5465,0,2.7907,0.7442
14 Dec 2021,0.0492,0,1.0328,0.0984
15 Dec 2021,0.0517,0,1.6724,0.1897
16 Dec 2021,1.3429,0,4.1714,1.6
17 Dec 2021,1.4194,0.0323,5.5484,1.9032
18 Dec 2021,0.3125,0,2.9792,0.5417
19 Dec 2021,0.2,0,2.8,0.4667
20 Dec 2021,2.2353,0,8,2.1765
21 Dec 2021,0.5897,0,3.359,0.9231
22 Dec 2021,0.6452,0,3.6774,0.9032
23 Dec 2021,0.5455,0,3.1636,0.4909
24 Dec 2021,0.58,0,3.4,0.28
25 Dec 2021,0.3125,0,2.9375,0.1875
26 Dec 2021,0,0,2.5385,0.0769
27 Dec 2021,0.4091,0,3.0909,0.3409
28 Dec 2021,1.1111,0,5.2222,1.1111
29 Dec 2021,0.7222,0,3.7778,0.7222
30 Dec 2021,0.6471,0,3.7647,0.1765
31 Dec 2021,0.4444,0,3.6667,0.4444
