category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Dec 2021,0.4211,0,3.8947,0.2632
2 Dec 2021,2.2698,0,20.0794,1.4921
3 Dec 2021,2.2708,0,17.1042,2.0417
4 Dec 2021,0.275,0,2.5,0.65
5 Dec 2021,0.4,0,3.425,0.1
6 Dec 2021,0.8072,0,5.8072,1
7 Dec 2021,1.1,0,7.8333,0.6333
8 Dec 2021,0.3165,0,3.7848,0.7975
9 Dec 2021,0.7333,0,5.4333,0.2667
10 Dec 2021,0.75,0,4.1944,0.75
11 Dec 2021,0,0,0.8333,0.1667
12 Dec 2021,0.0952,0,0.7619,0.1667
13 Dec 2021,1.2375,0,10.15,1.2
14 Dec 2021,1.5902,0,12.7377,1.6393
15 Dec 2021,1.0862,0,6.7586,0.8276
16 Dec 2021,1.2903,0.1613,5.2581,1.2581
17 Dec 2021,4.0345,0.2759,11.5172,3.1034
18 Dec 2021,0.3125,0,3.3333,0.1875
19 Dec 2021,0.0667,0,1.1333,0
20 Dec 2021,7.875,0.1875,24,12.625
21 Dec 2021,2.9737,0,14.2105,6.2105
22 Dec 2021,0.8276,0,6.2414,0.4483
23 Dec 2021,1.1964,0,9.75,2.0536
24 Dec 2021,0.88,0,6.94,1.06
25 Dec 2021,0,0,0.1875,0
26 Dec 2021,0,0,0.1538,0
27 Dec 2021,0.7556,0,6.7111,0.7333
28 Dec 2021,0.2,0,1.2,0.2
29 Dec 2021,0.5556,0,3.9444,0.3333
30 Dec 2021,0,0,0.2941,0.0588
31 Dec 2021,0.1111,0,1.6667,0.5556
