category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Dec 2021,79802.7895,31872.5789,156509.8947,84139.5789
2 Dec 2021,55147.7778,22500.7302,125633.6825,49219.0794
3 Dec 2021,24851.2708,7959.1667,85884.9583,24942.5208
4 Dec 2021,96988.85,33779.325,224673.25,89430.4
5 Dec 2021,136279.375,51105.7,294153.825,146665.65
6 Dec 2021,119733.9759,39540.8795,256750.4096,135129.0482
7 Dec 2021,84639.4667,23297.7667,200558.9,79474.9
8 Dec 2021,106045.1899,46281.6582,212743.3924,100834.962
9 Dec 2021,101846.1333,35446.6667,220565.4667,93760.1333
10 Dec 2021,289086.7778,121036.5833,495759.7778,323535.7778
11 Dec 2021,201091.8333,64628.3333,381252.8333,184162.6667
12 Dec 2021,184252.4524,63778.5476,329034.2619,208766.7857
13 Dec 2021,80949.7875,29504.275,176629.5875,95183.475
14 Dec 2021,26031.4262,8427.9836,80455,26568.2787
15 Dec 2021,44468.1724,18382.2759,116750.8276,48478.069
16 Dec 2021,113859.3226,43467.1613,229452.2258,125922.2581
17 Dec 2021,199005.9655,85167.8621,414276.931,183384.6552
18 Dec 2021,124387.0833,51346.625,232645.875,108083.0625
19 Dec 2021,108761.3333,31932.4667,248951,113971.1333
20 Dec 2021,287803.75,142428.8125,571738.75,385039.9375
21 Dec 2021,133533.0263,55056.0789,270840.8684,143854.4474
22 Dec 2021,102083.8966,35649.5172,260428.3448,113063
23 Dec 2021,65140.4643,20846.6607,188750.8929,59067.6786
24 Dec 2021,93890.86,23629.98,300347.5,96984.5
25 Dec 2021,97154.75,35656.9375,235860.375,112022.1875
26 Dec 2021,89123.3077,35141.0769,164039,81078.0769
27 Dec 2021,98909.4667,37031.7111,206833.6889,95312.5778
28 Dec 2021,166588.9,70449.5,326681.3,195688.7
29 Dec 2021,96997.7778,39518.1667,220788.6667,92672.2222
30 Dec 2021,99463.7647,40563.4706,215834,114680.4706
31 Dec 2021,94219.7778,38249.1111,214974.3333,87062
