category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Dec 2021,5963.1579,1617.6316,20431.8421,5491.9474
2 Dec 2021,4738.9841,1013.0635,18125.7302,3474.9365
3 Dec 2021,4641.2083,976.8542,18484.9167,6375.6875
4 Dec 2021,8362.325,1805.925,30144.45,6400.275
5 Dec 2021,10271.85,3310.05,36402.325,10034.775
6 Dec 2021,13849.2771,2999.3373,42097.9157,12101.8916
7 Dec 2021,12602.3333,1497.0667,35556.3,12655.5333
8 Dec 2021,8121.8987,2194.1646,26393.0759,7654.8228
9 Dec 2021,9542.2,2128.7333,30864.1667,9027.9333
10 Dec 2021,37526.6389,15412.9722,76590.3056,36624.0278
11 Dec 2021,27643.6667,7579,72280.1667,20842
12 Dec 2021,19317.7143,5965.119,47739.2143,17786.6667
13 Dec 2021,9078.8375,2982.7125,23657.225,9276.1125
14 Dec 2021,5721.8197,2094.1475,15272,5473.5246
15 Dec 2021,6253.8448,1759.5172,22637.2759,6222.5172
16 Dec 2021,23145.9677,6896.7742,54660.7742,18849.3548
17 Dec 2021,25403.7931,4940.8966,80281.5862,18778.1034
18 Dec 2021,9721.7083,2079.625,34908.875,7570.9583
19 Dec 2021,8352.2667,1826.3333,29184.4,7106.8667
20 Dec 2021,40679,8125.9375,110562.875,51817.75
21 Dec 2021,9540.3158,1990.2895,33721.8947,8399.7105
22 Dec 2021,9284.8276,1985.7931,34132.5172,7328.4828
23 Dec 2021,7468.1607,1498.8036,29748.3214,6433.875
24 Dec 2021,12092.78,1709.48,58132.82,7808.34
25 Dec 2021,7138.0625,2056.5,24179,7384.375
26 Dec 2021,5416.5385,1814.6154,16282.2308,4469.4615
27 Dec 2021,7866.6444,1879.1556,24123.6667,7965.9333
28 Dec 2021,15213.2,2974.3,59564.1,8253
29 Dec 2021,7008.9444,1659.7222,25231,6958.9444
30 Dec 2021,6513.8235,1860.4118,20396,5653.4118
31 Dec 2021,6031,1678,18106.4444,4452.1111
