category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Dec 2021,3,3,3,3
2 Dec 2021,3,3,3,3
3 Dec 2021,3,3,3,3
4 Dec 2021,3,3,3,3
5 Dec 2021,3,3,3,3
6 Dec 2021,3.0241,3.0241,3.0241,3.0241
7 Dec 2021,3.129,3.129,3.129,3.129
8 Dec 2021,3,3,3,3
9 Dec 2021,3.069,3.069,3.069,3.069
10 Dec 2021,3.0882,3.0882,3.0882,3.0882
11 Dec 2021,3,3,3,3
12 Dec 2021,3,3,3,3
13 Dec 2021,3,3,3,3
14 Dec 2021,3,3,3,3
15 Dec 2021,3,3,3,3
16 Dec 2021,3.0286,3.0286,3.0286,3.0286
17 Dec 2021,3,3,3,3
18 Dec 2021,3,3,3,3
19 Dec 2021,3,3,3,3
20 Dec 2021,3,3,3,3
21 Dec 2021,3,3,3,3
22 Dec 2021,3,3,3,3
23 Dec 2021,3,3,3,3
24 Dec 2021,3,3,3,3
25 Dec 2021,3,3,3,3
26 Dec 2021,3,3,3,3
27 Dec 2021,3,3,3,3
28 Dec 2021,3,3,3,3
29 Dec 2021,3,3,3,3
30 Dec 2021,3,3,3,3
31 Dec 2021,3,3,3,3
