category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Dec 2021,53.3158,1.1053,119.2105,59.3158
2 Dec 2021,440.6349,7.4762,979.0317,460
3 Dec 2021,488.375,9.375,1158.3125,471.9792
4 Dec 2021,11.225,0.05,27.825,11.4
5 Dec 2021,18.25,0.475,42.975,18.525
6 Dec 2021,235.5663,10.0241,453.3735,251.6988
7 Dec 2021,516.3,39.4667,1000.1667,542.9667
8 Dec 2021,23.9367,0.8354,59.8228,24.8861
9 Dec 2021,40.4,0.1,96.7,40.2667
10 Dec 2021,10.9444,0.7778,28.8333,11.2222
11 Dec 2021,5.5,0,10,6.5
12 Dec 2021,4.6905,0.0238,12.1905,4.3571
13 Dec 2021,373.4,18.2125,749.2,385.75
14 Dec 2021,576.2951,16.3934,1240.8689,579.4754
15 Dec 2021,378.3621,3.431,855.6207,389.6552
16 Dec 2021,311.5484,2.4194,659.129,337.9677
17 Dec 2021,46.5517,8.931,110.2414,50.8966
18 Dec 2021,17.2083,0,42.0417,15.3542
19 Dec 2021,4.8667,0,10.8,3.6
20 Dec 2021,120.8125,1.3125,306,129.3125
21 Dec 2021,149.0789,1,379.2632,124.2105
22 Dec 2021,48.7241,3.3793,110.9655,45.0345
23 Dec 2021,184.4286,3.8036,470.2857,174.6786
24 Dec 2021,229.92,2.04,504.02,246.04
25 Dec 2021,1.5,0.1875,3.5,1
26 Dec 2021,1.1538,0,1.7692,1.2308
27 Dec 2021,54.6222,0.7556,142.2889,56.3333
28 Dec 2021,58.4,0.2,133.3,68.8
29 Dec 2021,15.8333,1.2222,43.3889,16.6111
30 Dec 2021,1.4118,0,2.7647,1.5882
31 Dec 2021,7.7778,0,15.4444,9.2222
