category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Dec 2021,0.7778,0,1.1111,0.8333
2 Dec 2021,1.5781,0.1094,2.75,1.6563
3 Dec 2021,1.4167,0.0208,2.5833,1.4167
4 Dec 2021,0.75,0,0.95,0.825
5 Dec 2021,2.425,0.05,3.525,2.6
6 Dec 2021,2.3133,0.1566,3.5301,2.5904
7 Dec 2021,1.3548,0.2581,2.5484,1.3548
8 Dec 2021,1.175,0.0625,1.8,1.2625
9 Dec 2021,0.7931,0,1.2069,0.931
10 Dec 2021,1.2647,0.1471,2.2059,1.3235
11 Dec 2021,0.7143,0,0.8571,0.7857
12 Dec 2021,1.2558,0.0698,1.6744,1.3488
13 Dec 2021,1.4651,0.0233,2.3721,1.5465
14 Dec 2021,1.623,0.1311,2.8525,1.7377
15 Dec 2021,1.5,0.069,2.7931,1.6207
16 Dec 2021,4.2,0.5714,7.5143,3.9429
17 Dec 2021,4.6774,0.6774,9.129,4.6452
18 Dec 2021,1.0833,0,1.3333,1.2292
19 Dec 2021,0.8,0,1,0.7333
20 Dec 2021,5.0588,0.7647,9.5294,4.8235
21 Dec 2021,2.1026,0.4103,3.1795,2.2564
22 Dec 2021,2.129,0.2581,3.1935,2.1935
23 Dec 2021,2.1636,0.1636,3.7091,2.2727
24 Dec 2021,1.44,0.02,2.46,1.52
25 Dec 2021,0.875,0,1.125,1.0625
26 Dec 2021,0.7692,0,0.9231,0.7692
27 Dec 2021,1.2273,0.0227,2.0909,1.2955
28 Dec 2021,2.3333,0.1111,3.6667,2.4444
29 Dec 2021,1.8889,0.0556,2.8333,2.1111
30 Dec 2021,1.1176,0,2.0588,1.2353
31 Dec 2021,0.8889,0,1.3333,0.7778
