category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Dec 2021,29357.8333,4732.5556,54316.5,29775.2778
2 Dec 2021,28894.25,4745.5313,53179.8594,29445.1875
3 Dec 2021,29978.3125,4755,55240.5208,30527.2292
4 Dec 2021,30056.2,4749.95,55558.3,30458.65
5 Dec 2021,29354.25,4724.7,54596.475,29911.7
6 Dec 2021,28736.1084,4733.0964,52965.0723,29211.5783
7 Dec 2021,29552.0968,4741.9677,54696.0645,30355.0968
8 Dec 2021,29064.45,4729.75,53643.45,29746.7
9 Dec 2021,29171.5862,4741.069,53667.7241,29361.0345
10 Dec 2021,27462.7647,4719.3529,50621.9118,27871.4412
11 Dec 2021,30658.9286,4740.5714,56942.0714,31049
12 Dec 2021,29606.8372,4722.1163,54970.1395,30363.6977
13 Dec 2021,29616.9651,4738.5581,54696.6279,29974.7326
14 Dec 2021,29374.7377,4748.377,54029.7869,29974.9016
15 Dec 2021,30250.5,4741.069,55906.8793,30855.1034
16 Dec 2021,28203.8571,4737.6857,53645.3143,28280.4
17 Dec 2021,27032.5484,4689.8387,49510.2258,27515.871
18 Dec 2021,28804.375,4742.375,52988.25,29296.1042
19 Dec 2021,29166.1333,4728.0667,53891.4667,29812.4
20 Dec 2021,27250.5882,4624.2941,50787.1176,27774
21 Dec 2021,27885.5641,4734.2821,51521.5641,28245.1282
22 Dec 2021,28910.9032,4728.9355,53118.1613,29353.7097
23 Dec 2021,29103.7636,4512.5273,53814.4909,29880.7273
24 Dec 2021,29162.74,4742.88,53981.46,30054.76
25 Dec 2021,30314.5625,4755,56373,31385.0625
26 Dec 2021,29078.9231,4755,53556.3846,29853.6923
27 Dec 2021,28326.7045,4745.8182,52121.9545,28948.0455
28 Dec 2021,30648.4444,4710.1111,57317.8889,31294.6667
29 Dec 2021,29902.3333,4732.5556,55521,30488.9444
30 Dec 2021,30450.7059,4731.2353,56439.1176,31281.1176
31 Dec 2021,28696.2222,4710.1111,52805.8889,29519.6667
