category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Dec 2021,3329.5789,244.7368,7324.7368,3274.1579
2 Dec 2021,7273.5397,479.5079,14845.127,7460.8571
3 Dec 2021,8215.1042,516.5833,16757.6042,8541.6875
4 Dec 2021,2836.325,192.4,6526.025,2727.125
5 Dec 2021,2711.15,184.825,6232.875,2646.6
6 Dec 2021,4140.7108,363.6145,8271.9639,4238.4578
7 Dec 2021,6466.9667,887.1333,12189.4,6727.7
8 Dec 2021,2794.7722,163.8861,6462.3671,2726.5443
9 Dec 2021,2866.0667,108.3,6898.3333,2761.1333
10 Dec 2021,1284.3056,109.2778,2832.6389,1295.2778
11 Dec 2021,540.3333,40.5,1149.1667,564.1667
12 Dec 2021,1722.9762,102.1667,3909.9048,1660.9524
13 Dec 2021,6311.2375,738.625,12486.175,6358.5375
14 Dec 2021,9196.9344,904.4098,17813.3934,9346.377
15 Dec 2021,6457.3621,506.8966,13153.3621,6644.4655
16 Dec 2021,5001.2903,411.8065,9943.1613,5235.6129
17 Dec 2021,795.3448,83.4138,1905.4483,746.4483
18 Dec 2021,2787.3958,171.1458,6529.8958,2584.3333
19 Dec 2021,2935.2,198.3333,6624.6,2883.4
20 Dec 2021,1171.25,37.625,2980.5,1117
21 Dec 2021,4070.5526,146.6579,8962.6842,4096.5789
22 Dec 2021,3202.4828,141.1724,7344.4138,3130.8966
23 Dec 2021,5221.7321,340.4464,11214.2143,5299.4464
24 Dec 2021,5240.36,369.02,10688.42,5414.66
25 Dec 2021,3284.75,181.5625,7490.5,3195.25
26 Dec 2021,3170.7692,201.7692,7187.0769,2972.7692
27 Dec 2021,3457.2667,192.4444,7914.2444,3374.3556
28 Dec 2021,3618.4,134.8,7929.5,3521
29 Dec 2021,3463.7778,213.5556,7820.4444,3389.1111
30 Dec 2021,3726.4706,206.2941,8365.0588,3615.5294
31 Dec 2021,4754,375,10363.1111,4517.5556
