category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Dec 2021,646.6111,50.3333,1182.7778,665.3333
2 Dec 2021,1198.8906,168.5,2136.3906,1215.8594
3 Dec 2021,1681.5833,233.6667,2927.6458,1726.7917
4 Dec 2021,316.25,45.05,572.95,319.05
5 Dec 2021,360.725,23.7,631.7,389.675
6 Dec 2021,508.1566,71.3735,890.3133,532.3976
7 Dec 2021,1028.2903,132.6452,1771.8065,1072.3226
8 Dec 2021,195.7375,20.075,337.7875,207.05
9 Dec 2021,217.6552,46.3448,365.6207,220.931
10 Dec 2021,115.9118,17.3529,198.6765,120
11 Dec 2021,455.9286,49.2857,756.6429,477.1429
12 Dec 2021,743.7674,71.814,1204.6744,801.907
13 Dec 2021,825.7209,146.3721,1448.4302,841.7907
14 Dec 2021,1636.5738,263.082,2949.8525,1647.9508
15 Dec 2021,1075.6724,157.2069,1924.9828,1079.931
16 Dec 2021,756.0857,103.2,1331.5143,769.0571
17 Dec 2021,159.2581,17.129,276.5484,164.3548
18 Dec 2021,450.2917,37.3333,812.75,463.4583
19 Dec 2021,543.6667,50.7333,972.6667,559.7333
20 Dec 2021,127.3529,11.6471,210.4706,133.7059
21 Dec 2021,622.5641,77.6667,1078.7436,637.5128
22 Dec 2021,288.9677,34.3871,504.5161,299.6129
23 Dec 2021,867.1636,120.6,1520.8727,891.3273
24 Dec 2021,1107.58,143.64,1900.34,1158.94
25 Dec 2021,494.9375,49.75,847.5625,534.3125
26 Dec 2021,590.2308,53.1538,989.8462,639
27 Dec 2021,257.5455,42.7955,456.6818,265.9091
28 Dec 2021,349.3333,57.4444,591.4444,367.5556
29 Dec 2021,174.7778,16.5,312.5,180.9444
30 Dec 2021,141.1176,15.4706,248.8824,146.1176
31 Dec 2021,292.4444,37.3333,498.6667,307.4444
