category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Dec 2021,1420.6316,126.3158,3090,1390.1579
2 Dec 2021,3202.9841,234.4603,6844.6508,3221.0794
3 Dec 2021,3488.5208,206.5625,7548.2917,3546.5417
4 Dec 2021,1278.575,102.875,2854.2,1241.95
5 Dec 2021,1251.25,99.775,2819.4,1228.55
6 Dec 2021,2092.1687,195.9518,4129.241,2154.8434
7 Dec 2021,3894.9667,577.9333,7280.3,4043.0667
8 Dec 2021,1198.1392,77.8987,2696.6709,1174.7342
9 Dec 2021,1231.3333,53.4667,2869.8,1200.1
10 Dec 2021,608.5278,59.8889,1289.8889,627.5556
11 Dec 2021,339.3333,20.8333,688.1667,371.6667
12 Dec 2021,787.0238,53.9286,1730.5952,763.9524
13 Dec 2021,3228.5625,364.725,6486.125,3253.0375
14 Dec 2021,4750.8852,434.5738,9563.2623,4760.541
15 Dec 2021,2997.1207,222.6034,6433.3103,3036.0345
16 Dec 2021,2309.7097,111.2581,5026.0645,2398.6452
17 Dec 2021,369.7586,43.0345,820.5517,374.8621
18 Dec 2021,1258.1875,93.3333,2867.7917,1169.4375
19 Dec 2021,1268.5333,103.7333,2803.6,1248
20 Dec 2021,542.1875,17.8125,1355.8125,527.0625
21 Dec 2021,1705.6579,72.2105,3778.0789,1715.2105
22 Dec 2021,1382.4828,71.3103,3061.1034,1372.1724
23 Dec 2021,2147.9821,132.8036,4797.3036,2140.8214
24 Dec 2021,2171.96,113.16,4662.48,2245.42
25 Dec 2021,1475.25,107.375,3322.625,1411.5625
26 Dec 2021,1405.6923,111.9231,3079.3846,1335.3077
27 Dec 2021,1437.2444,101.3778,3236.5111,1403.9556
28 Dec 2021,1555.1,73.8,3445.2,1476.1
29 Dec 2021,1461.0556,109,3206.5556,1445.9444
30 Dec 2021,1460.9412,113.8824,3185.1176,1428.8235
31 Dec 2021,1911,194.5556,4089.2222,1820.3333
