category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Dec 2021,686602.6842,290079.6842,948168.4211,712392.5263
2 Dec 2021,1991020.8095,728876.8254,2494206.0952,2194920.9524
3 Dec 2021,2541060.1458,852879.2917,3225958.3333,2768629.7083
4 Dec 2021,473857.525,195408.9,639629.25,497123.325
5 Dec 2021,501791.35,205507.35,692881.65,520205.4
6 Dec 2021,952623.1084,407757.6988,1219107.8313,995429.7831
7 Dec 2021,1250760,705742.0667,1508860.4667,1308723.5
8 Dec 2021,500162.481,203031.1139,691698,526306.2911
9 Dec 2021,601906.1,187414.8,833862.4,638557.2
10 Dec 2021,427980.1667,182439,578351.1667,486614.1667
11 Dec 2021,180100.1667,57757,247530,192449
12 Dec 2021,303787.881,126600.2857,413824.5714,326360.5
13 Dec 2021,1383778.0875,784528.45,1676328.3,1459340.2125
14 Dec 2021,2508985.0492,1119538.4918,3028972.7869,2706186.9836
15 Dec 2021,2005175.6724,801258.6552,2436547.4483,2178378.9828
16 Dec 2021,1568337.6129,670143.871,1862518.1935,1611360.8387
17 Dec 2021,901655.9655,277382.2069,1308244.9655,1084418.2759
18 Dec 2021,477139.3958,181125.875,714543.25,497773.3125
19 Dec 2021,477777.5333,212742,685056,505585.6
20 Dec 2021,667394.5625,111415.125,1080727.875,835211.8125
21 Dec 2021,1268546.3684,279880.6316,1708773.6842,1413931.5526
22 Dec 2021,785425.3103,189305.2414,1127839.7931,845269.4483
23 Dec 2021,1600057.1964,511718.8929,2089274.6071,1774297.9464
24 Dec 2021,1652272.78,605433.6,2105247.44,1797794.02
25 Dec 2021,506187.8125,222108,691244.25,496147.125
26 Dec 2021,482039.3846,232091.5385,648028.6154,486002.7692
27 Dec 2021,778085.8222,281763.6,1034894,843229.9556
28 Dec 2021,808385.9,205944.4,1117273.6,884102.7
29 Dec 2021,624020.5,228946.6667,880181,668479.6667
30 Dec 2021,628104.2941,252173.6471,846560.4706,654667.7647
31 Dec 2021,784311.3333,357394.6667,1054492.6667,876687.3333
