category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Dec 2021,229338.3889,189054,248736.4444,217104
2 Dec 2021,540054.7344,397160.9531,586613.3438,531036.0938
3 Dec 2021,790719.0417,580117.0833,862604.8333,778319.3542
4 Dec 2021,145691.35,138787.45,149481.125,146202.45
5 Dec 2021,123315.275,111265.2,129591.875,122769.7
6 Dec 2021,292989.9639,187016.2169,347884.2771,294936.3253
7 Dec 2021,609984.5161,359494.0323,700016.1935,594809.0323
8 Dec 2021,141709.775,122028.8625,146554.4,142676.1
9 Dec 2021,169645.2414,160610.5172,172275.931,171295.7586
10 Dec 2021,113390.5588,86251.8824,120194.4412,115189.9706
11 Dec 2021,117410,104796,120469.7857,118722.7857
12 Dec 2021,128309.2326,109932.2326,135620.7674,129295.4419
13 Dec 2021,531153.3721,510596.7674,541002.1395,526518.4884
14 Dec 2021,989427.1803,921430.0984,1008904.0164,998444.8361
15 Dec 2021,654315.0517,590296.2241,666937.8103,654148.7241
16 Dec 2021,437717.8,409811.3143,449466.0571,437068.4
17 Dec 2021,65248.0645,47064.1935,78960.3226,59338.7097
18 Dec 2021,154523.75,142341.4375,158471.0417,155629.5833
19 Dec 2021,151255.6667,142702.7333,154527.2667,153271.8
20 Dec 2021,32851.5294,14595.4706,46314.0588,36067.1765
21 Dec 2021,231242.4103,181731.7436,248651.1026,229731.9744
22 Dec 2021,162855.9032,96636.2581,199013.7097,170162.6774
23 Dec 2021,462506.3273,391928.0909,492999.2364,460790.6727
24 Dec 2021,541876.12,424199.48,577582.28,543215.4
25 Dec 2021,155715.5,148038.1875,157921.0625,157893.5
26 Dec 2021,147160.3077,137251.4615,154493.4615,146934.3077
27 Dec 2021,176855.0909,149325,186041.0909,181206.6818
28 Dec 2021,168398.4444,120818.3333,193347.4444,149714.3333
29 Dec 2021,124568.8333,119454.3333,128594.7778,125186.3889
30 Dec 2021,119670.2941,105261.0588,124711.7059,120353.8235
31 Dec 2021,126894.1111,124501.5556,131157,127643.2222
