category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Dec 2021,1318.5789,0,1473.6842,1473.6842
2 Dec 2021,7121.873,1841.2698,8761.9048,8761.9048
3 Dec 2021,7893.0625,1416.6667,10000,10000
4 Dec 2021,382.6,0,400,400
5 Dec 2021,13982.225,0,36700,6800
6 Dec 2021,1721.3614,1493.9759,1975.9036,1686.747
7 Dec 2021,4586.6667,3866.6667,4666.6667,4666.6667
8 Dec 2021,0,0,0,0
9 Dec 2021,381.8333,0,400,400
10 Dec 2021,17266.6667,111.1111,36777.7778,36777.7778
11 Dec 2021,0,0,0,0
12 Dec 2021,129.881,0,952.381,0
13 Dec 2021,900,800,1200,850
14 Dec 2021,2393.4426,655.7377,2622.9508,2622.9508
15 Dec 2021,137.931,137.931,137.931,137.931
16 Dec 2021,0,0,0,0
17 Dec 2021,23887.8966,4000,38620.6897,32000
18 Dec 2021,416.6667,0,833.3333,833.3333
19 Dec 2021,0,0,0,0
20 Dec 2021,231175.125,5000,377750,363000
21 Dec 2021,44527,1684.2105,60631.5789,60631.5789
22 Dec 2021,1448.2759,137.931,1517.2414,1517.2414
23 Dec 2021,142.8571,142.8571,142.8571,142.8571
24 Dec 2021,4966.14,320,5520,5520
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,2418.2,0,2800,2800
29 Dec 2021,0,0,0,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
