category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Dec 2021,0,0,0,0
2 Dec 2021,0,0,0,0
3 Dec 2021,0,0,0,0
4 Dec 2021,0,0,0,0
5 Dec 2021,0,0,0,0
6 Dec 2021,0,0,0,0
7 Dec 2021,0,0,0,0
8 Dec 2021,0,0,0,0
9 Dec 2021,0,0,0,0
10 Dec 2021,0,0,0,0
11 Dec 2021,0,0,0,0
12 Dec 2021,0,0,0,0
13 Dec 2021,0,0,0,0
14 Dec 2021,0,0,0,0
15 Dec 2021,0,0,0,0
16 Dec 2021,0,0,0,0
17 Dec 2021,0,0,0,0
18 Dec 2021,0,0,0,0
19 Dec 2021,0,0,0,0
20 Dec 2021,0,0,0,0
21 Dec 2021,0,0,0,0
22 Dec 2021,0,0,0,0
23 Dec 2021,0,0,0,0
24 Dec 2021,0,0,0,0
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,0,0,0,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
