category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Dec 2021,49,5.8889,91.8889,49.6667
2 Dec 2021,48.3594,6,90.3438,49.4063
3 Dec 2021,50.375,6,94.3542,51.3125
4 Dec 2021,50.25,5.975,94.05,50.925
5 Dec 2021,50.225,5.9,94.25,51.45
6 Dec 2021,48.9639,5.9639,91.2771,50.012
7 Dec 2021,49.2581,5.9355,93.129,50.5806
8 Dec 2021,48.875,5.9375,91.675,50.2125
9 Dec 2021,48.7586,5.931,91.0345,49.2069
10 Dec 2021,45.7059,5.8529,85.8235,46.7647
11 Dec 2021,51.0714,5.9286,96.2857,51.8571
12 Dec 2021,49.9535,5.8605,93.2326,51.4186
13 Dec 2021,49.7442,5.9419,93.1977,50.4884
14 Dec 2021,49.5082,6.0492,92.6557,50.5738
15 Dec 2021,50.8966,5.9483,95.931,52.0172
16 Dec 2021,45.5714,5.9714,86.9714,46.2286
17 Dec 2021,43.9677,5.7097,81.6774,44.9032
18 Dec 2021,48.5208,5.9375,89.9792,49.4167
19 Dec 2021,48.7333,5.8667,91.0667,49.7333
20 Dec 2021,43.8235,5.4706,82.5294,44.7647
21 Dec 2021,46.1538,5.8974,86.7179,46.8718
22 Dec 2021,48.3226,5.9032,89.9677,49.0968
23 Dec 2021,49.0364,5.8545,91.8727,50.3455
24 Dec 2021,48.58,5.96,91.1,50
25 Dec 2021,51.0625,6,95.625,52.8125
26 Dec 2021,48.5385,6,90.5385,49.8462
27 Dec 2021,47.75,5.9773,89.2955,48.8864
28 Dec 2021,52.4444,5.8889,99.3333,53.6667
29 Dec 2021,50.7222,5.9444,95.5556,52
30 Dec 2021,51.1765,5.8824,96.6471,52.8235
31 Dec 2021,48,5.7778,89.6667,49.3333
