category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Dec 2021,103.7222,0,167.9444,156
2 Dec 2021,610.6719,119.9688,1145.0781,587.6719
3 Dec 2021,439.4583,29.1667,840.4583,462.3542
4 Dec 2021,78.275,0,95.75,89.85
5 Dec 2021,351.35,26.95,564.525,360.975
6 Dec 2021,538.0482,136.012,861.988,610.2169
7 Dec 2021,545.2258,226.7097,853.7742,626.4516
8 Dec 2021,101.6625,30.3125,134.1875,111.075
9 Dec 2021,34.1034,0,51.8966,40.0345
10 Dec 2021,334.7941,89.2647,674.8824,321.2059
11 Dec 2021,27.8571,0,36.8571,33.7857
12 Dec 2021,191.0465,43.6512,322.1163,202.3721
13 Dec 2021,291.8023,12.5349,476.814,339.9651
14 Dec 2021,429.6066,114.9508,627.2131,489.6393
15 Dec 2021,245.1897,30.2241,389.2241,261.6034
16 Dec 2021,3006.1429,611.5714,5128.6857,2911.6286
17 Dec 2021,3054.7419,657.4194,6011.7419,2931.5161
18 Dec 2021,64.75,0,80.7917,76.3125
19 Dec 2021,33.1333,0,43,31.5333
20 Dec 2021,3710.4118,887.4706,6843.9412,3576.0588
21 Dec 2021,907.9487,371.2051,1264.5128,941.4359
22 Dec 2021,950.8065,261.9677,1559.9032,943.5484
23 Dec 2021,738.6545,108.3091,1446.2364,807.6
24 Dec 2021,489.24,10.78,901.86,471.12
25 Dec 2021,39,0,48.375,45.6875
26 Dec 2021,30.5385,0,39.6923,33.0769
27 Dec 2021,64.6818,12.25,101.1818,66.5
28 Dec 2021,342.6667,59.8889,456.1111,403.5556
29 Dec 2021,229.2222,29.9444,335.9444,304.8889
30 Dec 2021,96.2353,0,154.4706,117.8235
31 Dec 2021,35.6667,0,57.3333,33.4444
