category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Dec 2021,0.0526,0.0526,0.0526,0.0526
2 Dec 2021,0.2857,0,0.5556,0.381
3 Dec 2021,0.25,0,0.6667,0.3125
4 Dec 2021,0.05,0.05,0.05,0.05
5 Dec 2021,0.175,0.025,0.975,0.05
6 Dec 2021,0.2169,0.0482,0.4578,0.1446
7 Dec 2021,0.2,0.1333,0.3,0.2
8 Dec 2021,0.0759,0.0633,0.0759,0.0759
9 Dec 2021,0.1,0.1,0.1333,0.1
10 Dec 2021,0.1389,0.1389,0.1389,0.1389
11 Dec 2021,0,0,0,0
12 Dec 2021,0,0,0.0714,0
13 Dec 2021,0.2625,0.0375,0.4625,0.4
14 Dec 2021,0.4754,0.0984,1.1148,0.541
15 Dec 2021,0.1379,0.0345,0.2759,0.2069
16 Dec 2021,0.1935,0.1935,0.1935,0.1935
17 Dec 2021,0.2759,0.2069,0.5517,0.2069
18 Dec 2021,0.4583,0,1.1458,0.3958
19 Dec 2021,0.3333,0,0.9333,0
20 Dec 2021,0.4375,0.0625,0.75,0.625
21 Dec 2021,3.2368,0.0263,4.8684,3.4474
22 Dec 2021,0.7586,0.069,2.3793,0.5517
23 Dec 2021,1.3571,0.0357,2.8036,1.5714
24 Dec 2021,0.16,0.02,0.32,0.16
25 Dec 2021,0.0625,0.0625,0.0625,0.0625
26 Dec 2021,0,0,0,0
27 Dec 2021,0.3333,0.0222,0.7778,0.5111
28 Dec 2021,0.1,0.1,0.1,0.1
29 Dec 2021,0,0,0,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
