category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Dec 2021,0.6111,0,0.9444,0.6667
2 Dec 2021,1.0313,0.0469,1.6406,1.0938
3 Dec 2021,1.1042,0,1.875,1.1458
4 Dec 2021,0.7,0,0.925,0.8
5 Dec 2021,2.45,0.05,3.45,2.7
6 Dec 2021,1.9639,0.0723,2.8916,2.2048
7 Dec 2021,0.7419,0,1.6452,0.7419
8 Dec 2021,1.1125,0.0625,1.725,1.2
9 Dec 2021,0.7931,0,1.1379,0.8966
10 Dec 2021,0.7353,0.0294,1.3529,0.7647
11 Dec 2021,0.7143,0,0.8571,0.7857
12 Dec 2021,1.3023,0.0233,1.7209,1.4884
13 Dec 2021,1.186,0.0233,1.8953,1.2209
14 Dec 2021,1.3115,0.082,2.3279,1.3934
15 Dec 2021,1.2586,0.0172,2.4138,1.3448
16 Dec 2021,0.6571,0.0571,1.1429,0.5714
17 Dec 2021,0.3548,0.0323,0.7419,0.3548
18 Dec 2021,1.1875,0,1.4375,1.3125
19 Dec 2021,0.8,0,1,0.7333
20 Dec 2021,0.4706,0.1176,0.9412,0.4118
21 Dec 2021,0.9231,0,1.4615,1
22 Dec 2021,1,0.0323,1.4194,1
23 Dec 2021,1.4727,0.0909,2.2727,1.5091
24 Dec 2021,1.02,0.02,1.6,1.02
25 Dec 2021,0.9375,0,1.1875,1.125
26 Dec 2021,0.8462,0,1,0.8462
27 Dec 2021,1.1591,0.0227,1.9773,1.25
28 Dec 2021,2.1111,0.1111,3.4444,2.2222
29 Dec 2021,1.7778,0.0556,2.7778,2.0556
30 Dec 2021,1.0588,0,2,1.1765
31 Dec 2021,0.8889,0,1.3333,0.7778
