category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Dec 2021,0,0,0,0
2 Dec 2021,0.0156,0,0.0156,0.0156
3 Dec 2021,0,0,0,0
4 Dec 2021,0.025,0.025,0.025,0.025
5 Dec 2021,0,0,0,0
6 Dec 2021,0.1928,0.1687,0.1928,0.1928
7 Dec 2021,0.4516,0.4516,0.4516,0.4516
8 Dec 2021,0,0,0,0
9 Dec 2021,0.4138,0.4138,0.4138,0.4138
10 Dec 2021,0.4706,0.4706,0.5,0.4706
11 Dec 2021,0,0,0,0
12 Dec 2021,0,0,0,0
13 Dec 2021,0.0349,0.0349,0.0465,0.0349
14 Dec 2021,0.0492,0.0492,0.0656,0.0492
15 Dec 2021,0,0,0,0
16 Dec 2021,0.2,0.2,0.2286,0.2
17 Dec 2021,0.8387,0.7742,0.9355,0.8387
18 Dec 2021,0.0208,0.0208,0.0208,0.0208
19 Dec 2021,0,0,0,0
20 Dec 2021,0.4118,0.4118,0.4706,0.4118
21 Dec 2021,0.0256,0,0.0513,0.0256
22 Dec 2021,0.0645,0,0.0968,0.0645
23 Dec 2021,0.0182,0,0.0182,0.0182
24 Dec 2021,0,0,0.04,0
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,0,0,0,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
