category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Nov 2021,0,0,0,0
2 Nov 2021,0,0,0.0222,0
3 Nov 2021,0,0,0.0952,0
4 Nov 2021,0,0,0.0455,0
5 Nov 2021,0.0976,0,0.2683,0.122
6 Nov 2021,0,0,0.0196,0
7 Nov 2021,0,0,0,0
8 Nov 2021,0,0,0.1333,0.0333
9 Nov 2021,0,0,0,0
10 Nov 2021,0.0294,0,0.1765,0
11 Nov 2021,0,0,0.0833,0
12 Nov 2021,0,0,0.0152,0
13 Nov 2021,0,0,0.0938,0
14 Nov 2021,0,0,0,0
15 Nov 2021,0,0,0.0385,0
16 Nov 2021,0,0,0.2381,0
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0,0,0,0
21 Nov 2021,0.25,0,0.5,0.375
22 Nov 2021,0,0,0.066,0
23 Nov 2021,0,0,0.0227,0.0076
24 Nov 2021,0.0417,0,0.1806,0.0556
25 Nov 2021,0,0,0.1099,0.011
26 Nov 2021,0,0,0.1,0
27 Nov 2021,0,0,0.0333,0
28 Nov 2021,0,0,0,0
29 Nov 2021,0,0,0.0244,0
30 Nov 2021,0,0,0,0
