category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Nov 2021,42766.5469,40000,71812.5,45625
2 Nov 2021,44169.7333,40000,75111.1111,45066.6667
3 Nov 2021,46825.8889,40000,82666.6667,47904.7619
4 Nov 2021,41844.0455,40000,55090.9091,40454.5455
5 Nov 2021,41105.6829,40000,57268.2927,41951.2195
6 Nov 2021,48064.549,40000,102196.0784,51058.8235
7 Nov 2021,43417.6667,40000,70333.3333,42750
8 Nov 2021,44598.0667,40000,65466.6667,44933.3333
9 Nov 2021,40831.1563,40000,51000,41687.5
10 Nov 2021,43118.8824,40000,63764.7059,44000
11 Nov 2021,43895.6111,40000,67222.2222,41555.5556
12 Nov 2021,46191.2727,40000,83636.3636,45787.8788
13 Nov 2021,46902.0313,40000,69875,48125
14 Nov 2021,48161.6667,40000,85523.8095,45809.5238
15 Nov 2021,44398.4231,40000,68307.6923,40307.6923
16 Nov 2021,40996.8571,40000,60761.9048,41142.8571
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,40695,40000,50000,40000
21 Nov 2021,41403,40000,63500,42000
22 Nov 2021,45168.6981,40000,79509.434,46056.6038
23 Nov 2021,43584.4242,40000,69757.5758,42681.8182
24 Nov 2021,44555.4028,40000,77111.1111,45833.3333
25 Nov 2021,43756.4066,40000,65890.1099,46901.0989
26 Nov 2021,41854.7333,40000,62666.6667,40933.3333
27 Nov 2021,51940.5333,40000,110400,49133.3333
28 Nov 2021,50251.35,40000,101000,46600
29 Nov 2021,40992.2195,40000,60097.561,40634.1463
30 Nov 2021,43862.3538,40000,69476.9231,42646.1538
