category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Nov 2021,0.0781,0,1.75,0.25
2 Nov 2021,0.7778,0.0444,3.4444,0.9333
3 Nov 2021,0.3016,0,2.8254,0.2857
4 Nov 2021,0.0455,0,0.8636,0
5 Nov 2021,0.1463,0,2.0488,0.2439
6 Nov 2021,0.098,0,2.7843,0.3922
7 Nov 2021,0.375,0,2.9167,0.4583
8 Nov 2021,0.7667,0,4.0333,0.7
9 Nov 2021,0.2188,0,2.0625,0.1875
10 Nov 2021,0.5,0,3.0588,0.8824
11 Nov 2021,0.1389,0,1.8889,0.2222
12 Nov 2021,0.0455,0,2.1364,0.2576
13 Nov 2021,0.5625,0,3.75,0.8438
14 Nov 2021,0.4762,0,3.4286,0.7143
15 Nov 2021,0.6923,0,4,0.7692
16 Nov 2021,0.2381,0,2.6667,0.2381
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0.5,0,3,0
21 Nov 2021,0.125,0,2.125,0.875
22 Nov 2021,0.4245,0,3.3019,0.4906
23 Nov 2021,0.2424,0,2.7273,0.3788
24 Nov 2021,0.2222,0,2.6389,0.4028
25 Nov 2021,0.6154,0,3.7143,0.5604
26 Nov 2021,0.1333,0,2.0667,0.0333
27 Nov 2021,0.9,0,4.7333,0.6333
28 Nov 2021,0.9,0,4.2,0.85
29 Nov 2021,0.2683,0,2.0976,0.2683
30 Nov 2021,0.0615,0,1.5077,0.1077
