category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Nov 2021,11,0,72.3538,17.2462
2 Nov 2021,14.3191,0.2979,65.7447,13.0851
3 Nov 2021,21.381,0.5556,102.746,20.619
4 Nov 2021,22.3636,0,109,12.2273
5 Nov 2021,18.9024,0.3171,87.878,13.0244
6 Nov 2021,4.0769,0,28.3269,5.1923
7 Nov 2021,6.5,0,42.1667,15.125
8 Nov 2021,12.4828,0.3103,56.0345,12.069
9 Nov 2021,21.25,0,82.25,23.875
10 Nov 2021,13,0.2059,99.0294,8.6176
11 Nov 2021,15.3611,0.1389,84.5278,6.2778
12 Nov 2021,14.4545,1.1515,64.8485,11.7727
13 Nov 2021,14.125,0,68.7813,12.75
14 Nov 2021,4.6667,0,35.9524,5
15 Nov 2021,31.7917,0,119.4583,39.0833
16 Nov 2021,30.8636,1,125.3636,29.5
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,7,0,38,0
21 Nov 2021,0.75,0,16.625,0
22 Nov 2021,11.8019,0.1604,71.6038,12.6415
23 Nov 2021,15.1579,0.3759,75.3233,12.1955
24 Nov 2021,14.6528,0.3194,76.375,10.4306
25 Nov 2021,14.4674,0.2935,78,11.6739
26 Nov 2021,18.3548,0,98.9677,34.5484
27 Nov 2021,15.9,0,75.7667,16.4
28 Nov 2021,6.5,0.1,45.7,2.95
29 Nov 2021,23.8537,1.122,113.561,29.5366
30 Nov 2021,12.0769,0,77.7692,14.1846
