category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Nov 2021,1500,1500,1500,1500
2 Nov 2021,1500,1500,1500,1500
3 Nov 2021,1500,1500,1500,1500
4 Nov 2021,1500,1500,1500,1500
5 Nov 2021,1500,1500,1500,1500
6 Nov 2021,1500,1500,1500,1500
7 Nov 2021,1500,1500,1500,1500
8 Nov 2021,1500,1500,1500,1500
9 Nov 2021,1500,1500,1500,1500
10 Nov 2021,1500,1500,1500,1500
11 Nov 2021,1500,1500,1500,1500
12 Nov 2021,1500,1500,1500,1500
13 Nov 2021,1500,1500,1500,1500
14 Nov 2021,1500,1500,1500,1500
15 Nov 2021,1500,1500,1500,1500
16 Nov 2021,1500,1500,1500,1500
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,1500,1500,1500,1500
21 Nov 2021,1500,1500,1500,1500
22 Nov 2021,1500,1500,1500,1500
23 Nov 2021,1500,1500,1500,1500
24 Nov 2021,1500,1500,1500,1500
25 Nov 2021,1500,1500,1500,1500
26 Nov 2021,1500,1500,1500,1500
27 Nov 2021,1500,1500,1500,1500
28 Nov 2021,1500,1500,1500,1500
29 Nov 2021,1500,1500,1500,1500
30 Nov 2021,1500,1500,1500,1500
