category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Nov 2021,48258.2154,22440.3077,102600.5385,49518.5385
2 Nov 2021,103227.234,44663.1702,201645.234,99222.9149
3 Nov 2021,61674.2698,29412.873,122233.9048,61263.3333
4 Nov 2021,29856.5455,11734,69932.5455,23684.0909
5 Nov 2021,18157.3902,9030.9024,44507.439,21095.439
6 Nov 2021,90668.2692,35652.4231,175162.2885,100200.4808
7 Nov 2021,87511.3333,41080.125,165768.625,98804.3333
8 Nov 2021,105004.6207,30736.2759,259030.8621,124217.1724
9 Nov 2021,53753.5313,20726.4688,119788.2813,53106.875
10 Nov 2021,61688.7647,29970.1765,110990.7647,63985.0882
11 Nov 2021,57324.0833,19245.8333,137605.3611,56173.8611
12 Nov 2021,60291.8788,22057.7121,124243.697,60369.9091
13 Nov 2021,86599.125,37403.3438,181493.4375,73647.6563
14 Nov 2021,107102.5238,44681.619,210974.2857,116044.5714
15 Nov 2021,122461.4167,35333.7083,272029.375,159877
16 Nov 2021,39500.1818,15095.7727,92301.4091,40253.0909
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,114716,36554,214319,91064
21 Nov 2021,75777.75,35195.25,172991,80369
22 Nov 2021,86920.2358,32714.566,172915.4717,89068.7925
23 Nov 2021,53160.1429,23143.5038,110447.797,52906.0602
24 Nov 2021,59597,23933.6944,130468.8889,56140.0694
25 Nov 2021,78662.5326,29296.5652,179767.0109,80218.5
26 Nov 2021,41691.3548,15198.1613,120339.2581,38314
27 Nov 2021,153984.9667,70379.6667,300599.2667,146510.8667
28 Nov 2021,163902.5,71992.2,314729.85,183490.8
29 Nov 2021,59028.0244,23032.5366,139480.561,79948.4634
30 Nov 2021,41134.5077,15279.3846,97710.8769,34581.8769
