category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Nov 2021,32953.2813,22018.4688,50249.8906,33142.3906
2 Nov 2021,81646.7556,57179.2889,110744.3333,83823.3778
3 Nov 2021,46811.3968,28933.7143,71858.0317,46078.9841
4 Nov 2021,14072.2727,9704.4091,24211.3182,14017.3636
5 Nov 2021,16443.7561,8947.6585,30520.1951,20385.3902
6 Nov 2021,42453.5686,26987.6667,60742.2549,44460.6863
7 Nov 2021,62304.7083,35232.9167,81127.9167,66256.875
8 Nov 2021,68783.1667,38005.7333,136631,62900.6667
9 Nov 2021,36981.2813,24106.8125,53313.2188,37488.2813
10 Nov 2021,48740.9412,30349.8824,75796.6176,44799.6176
11 Nov 2021,26297.0833,18082.1389,37743.6667,24849.3611
12 Nov 2021,27643.1667,17018.197,48867.5303,26125.9697
13 Nov 2021,53145.9375,32066.75,90374.3438,52450.7813
14 Nov 2021,59086.0476,36350.5714,89853,57381.1905
15 Nov 2021,84092.3462,54557.6154,126636.8077,87873.7692
16 Nov 2021,19798.6667,13283.381,32778.1429,19621.2381
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,59428,38115.5,100043,61405.5
21 Nov 2021,40317.75,27875.125,50702.125,41748.375
22 Nov 2021,63992.4057,35303.3585,97364.0094,64873.8019
23 Nov 2021,42597.7121,18411.1591,72585.8712,45339.2045
24 Nov 2021,33606.5694,20093.3333,52031.75,34202.625
25 Nov 2021,61958.8791,23291.8681,117861.7692,64129.4835
26 Nov 2021,30159.4333,13630.7667,55159.3333,34533.7667
27 Nov 2021,106783.7667,67729.1333,154642.4667,112498.6
28 Nov 2021,100305.65,59522.95,141528.8,105477.35
29 Nov 2021,31822.3659,23741.2195,46243.5854,30790.7317
30 Nov 2021,20638.0923,12618.5077,32825.1846,22371.5231
