category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Nov 2021,1448,1448,1448,1448
2 Nov 2021,1448,1448,1448,1448
3 Nov 2021,1448,1448,1448,1448
4 Nov 2021,1448,1448,1448,1448
5 Nov 2021,1448,1448,1448,1448
6 Nov 2021,1448,1448,1448,1448
7 Nov 2021,1448,1448,1448,1448
8 Nov 2021,1448.4,1448.4,1448.4,1448.4
9 Nov 2021,1448,1448,1448,1448
10 Nov 2021,1448,1448,1448,1448
11 Nov 2021,1448,1448,1448,1448
12 Nov 2021,1448,1448,1448,1448
13 Nov 2021,1448,1448,1448,1448
14 Nov 2021,1448,1448,1448,1448
15 Nov 2021,1448,1448,1448,1448
16 Nov 2021,1448,1448,1448,1448
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,1448,1448,1448,1448
21 Nov 2021,1448,1448,1448,1448
22 Nov 2021,1448,1448,1448,1448
23 Nov 2021,1448,1448,1448,1448
24 Nov 2021,1448,1448,1448,1448
25 Nov 2021,1448,1448,1448,1448
26 Nov 2021,1448.4,1448.4,1448.4,1448.4
27 Nov 2021,1448,1448,1448,1448
28 Nov 2021,1448,1448,1448,1448
29 Nov 2021,1448,1448,1448,1448
30 Nov 2021,1448,1448,1448,1448
