category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Nov 2021,3,3,3,3
2 Nov 2021,3,3,3,3
3 Nov 2021,3,3,3,3
4 Nov 2021,3,3,3,3
5 Nov 2021,3,3,3,3
6 Nov 2021,3,3,3,3
7 Nov 2021,3,3,3,3
8 Nov 2021,3,3,3,3
9 Nov 2021,3,3,3,3
10 Nov 2021,3,3,3,3
11 Nov 2021,3,3,3,3
12 Nov 2021,3,3,3,3
13 Nov 2021,3,3,3,3
14 Nov 2021,3,3,3,3
15 Nov 2021,3,3,3,3
16 Nov 2021,3,3,3,3
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,3.5,3.5,3.5,3.5
21 Nov 2021,3.125,3.125,3.125,3.125
22 Nov 2021,3,3,3,3
23 Nov 2021,3,3,3,3
24 Nov 2021,3,3,3,3
25 Nov 2021,3.022,3.022,3.022,3.022
26 Nov 2021,3,3,3,3
27 Nov 2021,3,3,3,3
28 Nov 2021,3,3,3,3
29 Nov 2021,3.0244,3.0244,3.0244,3.0244
30 Nov 2021,3.0154,3.0154,3.0154,3.0154
