category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Nov 2021,0.8281,0,1.375,0.8438
2 Nov 2021,2.4667,0.2444,4.5111,2.6889
3 Nov 2021,2.5714,0.1587,4.5079,2.7778
4 Nov 2021,1.8636,0.1818,3.3636,1.7273
5 Nov 2021,3.6585,0.3659,6.6829,3.8293
6 Nov 2021,0.7255,0,1.2549,0.7255
7 Nov 2021,0.5,0,0.7917,0.5
8 Nov 2021,3.5667,0.2333,6.1333,3.7667
9 Nov 2021,3.0625,0.1875,5.5625,3.4375
10 Nov 2021,2.0882,0.0882,3.7353,2.1176
11 Nov 2021,2.6389,0.3056,5.1389,2.6944
12 Nov 2021,2.4697,0.0758,4.5,2.6515
13 Nov 2021,3.0313,0.1875,6.0625,3.25
14 Nov 2021,1.5238,0,2.8095,1.7143
15 Nov 2021,3.6923,0.4231,7.0769,3.8846
16 Nov 2021,5.2857,0.5714,9.8571,5.5238
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0.5,0,0.5,0.5
21 Nov 2021,0.875,0,1.625,1
22 Nov 2021,2.1321,0.1509,3.5566,2.1321
23 Nov 2021,2.7197,0.1894,4.7045,2.8182
24 Nov 2021,3,0.1944,5.6528,3.125
25 Nov 2021,3.1429,0.1648,5,3.4396
26 Nov 2021,2.1667,0.2667,3.9667,2.1333
27 Nov 2021,1.0333,0,1.4667,1.1
28 Nov 2021,1.05,0.15,1.7,1.1
29 Nov 2021,2.4146,0.2927,4.6098,2.2927
30 Nov 2021,1.5538,0.0308,2.8615,1.6
