category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Nov 2021,7272589.3692,444976.8923,15382178.8923,7366250.9538
2 Nov 2021,3413749.7021,248758.5532,7461828.6809,3547394.1064
3 Nov 2021,5249662.9365,287386.873,11119058.5556,5245958
4 Nov 2021,8362342,676351.0909,16412225.4545,8646631.6364
5 Nov 2021,8942879.5854,849465.7073,17083864.9268,9282808.8293
6 Nov 2021,3811668.4615,158099.8077,8915511.3077,3565853.2115
7 Nov 2021,4504538.3333,220739.0833,10654133.25,4241907.625
8 Nov 2021,5817562.6207,403699.8276,12333604.2414,5897430.1724
9 Nov 2021,9679778.75,914922.1875,18931218.4375,10135439.3125
10 Nov 2021,10174512.9706,556981.1765,21092098.2353,10348602.0294
11 Nov 2021,9551154.1944,898941.7778,18925410.8889,9801204.1111
12 Nov 2021,7033886.803,633411.8182,14000327.6364,7297589.3182
13 Nov 2021,4867314.7188,245042.8125,10505835.625,4782985.4375
14 Nov 2021,3249302,196175.8095,6969742,3247414.2857
15 Nov 2021,5708102.9583,240430.5,12002222.4167,5766483.0833
16 Nov 2021,6201468.1818,256115.3636,12654009.6364,6587156.0909
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,2354360.5,334812,4911618,2371732.5
21 Nov 2021,4317237.375,167063.25,10423226.25,4143109.125
22 Nov 2021,5090618.6038,369095.1698,10511691.5472,5140780.717
23 Nov 2021,6811445.3609,337255.4361,14536458.188,6866994.3985
24 Nov 2021,5246033.6806,274548.6111,11517893.25,5205248.5833
25 Nov 2021,6596756.0326,343142.5543,14495004.5109,6450205.2065
26 Nov 2021,8645180.7419,459345.3226,17501072.5484,9070750.4516
27 Nov 2021,3897871,119585.3333,8976944.6,3739726.1
28 Nov 2021,4553122.5,155598.4,9969865.1,4463495.4
29 Nov 2021,8880666.5122,893387.878,17247054.8049,9384027.9268
30 Nov 2021,9363301.0769,872202.7692,18920915.2615,9559679.2923
