category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Nov 2021,979.0313,119.7969,1744.7031,991.6875
2 Nov 2021,845.6444,113.9778,1504.8667,870.8667
3 Nov 2021,720,106.7619,1262.3492,740.5397
4 Nov 2021,1726.8636,211,3029.3182,1733.6364
5 Nov 2021,1541.1707,211.0732,2685.0488,1544.2439
6 Nov 2021,303.8039,43.2745,531.3333,314.7059
7 Nov 2021,501.5417,59.9583,860.1667,519.4167
8 Nov 2021,801.2,143.5333,1392.0333,804.8
9 Nov 2021,1220.25,203.8438,2143.5313,1247.3438
10 Nov 2021,451.3529,50.8824,809.7059,462.1765
11 Nov 2021,1193.7778,170.9722,2132.6389,1202.0278
12 Nov 2021,796.7121,125.2121,1377.6818,829.0909
13 Nov 2021,104.0625,20.0313,179.6875,108.4375
14 Nov 2021,123.4286,21.0952,211.9524,127.7619
15 Nov 2021,985.8077,100.5,1699.5769,1020.3462
16 Nov 2021,1480.0476,255.619,2572.7619,1531.5238
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,566,71.5,1000,597.5
21 Nov 2021,614.5,55.25,1011.875,643.375
22 Nov 2021,750.9245,104.0283,1345.5755,766.6698
23 Nov 2021,1177.0758,129.2955,2162.1212,1186.0682
24 Nov 2021,819.6667,118.4583,1491.2361,824.125
25 Nov 2021,1240.2308,94.9121,2343.3297,1257.5495
26 Nov 2021,1339.8,168.1,2347.5,1364.6333
27 Nov 2021,196.4,24.8,333.7667,202.8
28 Nov 2021,354.45,43.1,621.5,374.6
29 Nov 2021,1323.9268,159.3902,2345.4634,1338.1463
30 Nov 2021,1319.1385,177.1538,2334.6923,1348.2308
