category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Nov 2021,0,0,0,0
2 Nov 2021,14.4,0,183.0222,104.0222
3 Nov 2021,6.2381,0,196.5079,0
4 Nov 2021,0,0,0,0
5 Nov 2021,684.3659,0,1897.6341,543.9024
6 Nov 2021,1.6863,0,45.8824,0
7 Nov 2021,0,0,0,0
8 Nov 2021,67.9,0,507.4667,332.4333
9 Nov 2021,0.8438,0,36.5313,0
10 Nov 2021,150.1176,0,827.2941,0
11 Nov 2021,5.0556,0,130.0278,0
12 Nov 2021,0.8788,0,36.1515,0
13 Nov 2021,7,0,181.9688,0
14 Nov 2021,0,0,0,0
15 Nov 2021,7.6923,0,133.3846,0
16 Nov 2021,38.619,0,448.3333,0
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0,0,0,0
21 Nov 2021,1393.75,0,3823.125,1320.5
22 Nov 2021,14.8962,0,210.1226,0
23 Nov 2021,1.6742,0,27.0303,13.3561
24 Nov 2021,262.5694,0,701.2639,252.3889
25 Nov 2021,45.8901,0,374.6593,19.3187
26 Nov 2021,0.7667,0,39,0
27 Nov 2021,2.5333,0,77.3667,0
28 Nov 2021,60,0,344.7,0
29 Nov 2021,1.6829,0,57.0488,0
30 Nov 2021,0,0,0,0
