category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Nov 2021,5767.9846,406.4923,12122.5846,5867.1538
2 Nov 2021,2913.7234,246.2128,6249.5957,3051.4255
3 Nov 2021,4424.4286,306.8254,9246.7937,4431.873
4 Nov 2021,6791.4091,615.3636,13244.1818,7011.4091
5 Nov 2021,7273.0244,777.0488,13820.4878,7555.5122
6 Nov 2021,2998.1538,169.1538,6906.9038,2811.4038
7 Nov 2021,3536.125,218.8333,8279.2083,3351.5417
8 Nov 2021,4675.6897,371.5862,9843.931,4745.5862
9 Nov 2021,7691.8438,777.9063,15025.2188,8050.25
10 Nov 2021,8053.2353,514.1176,16537.3824,8202.1471
11 Nov 2021,7543.6667,802.9167,14812.7778,7734.3611
12 Nov 2021,5705.5758,577.2576,11257.8485,5927.4848
13 Nov 2021,3857.4688,241.1875,8259.5625,3776.4688
14 Nov 2021,2546.8571,199.381,5398.7143,2541.4762
15 Nov 2021,4625.3333,248.375,9663.875,4687.4167
16 Nov 2021,5128.5,287.9545,10364.8182,5437.0455
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,1975,307,4064.5,1980
21 Nov 2021,3296.375,169.625,7875.5,3167.5
22 Nov 2021,4106.7736,349.0189,8394.7547,4153.3868
23 Nov 2021,5447.6692,323.8647,11511.0827,5501.6767
24 Nov 2021,4247.4444,272.3333,9221.3889,4222.375
25 Nov 2021,5216.4783,325.587,11360.9239,5108.7826
26 Nov 2021,6786.3226,423.3226,13706.0968,7114.0645
27 Nov 2021,3139.8667,146.4333,7063.5,3021.2
28 Nov 2021,3561.9,168,7723.25,3489.9
29 Nov 2021,7055.7073,757.5854,13649.7805,7460.8049
30 Nov 2021,7198.8615,708.0923,14548.6769,7333.3231
