category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Nov 2021,48.2969,4.2969,92.0156,49.1875
2 Nov 2021,49.4,4.9333,93.6667,50.6
3 Nov 2021,49.3492,5.0635,93.1429,50.5397
4 Nov 2021,47.0909,5.1364,88.8636,47.5
5 Nov 2021,50.9268,5.2683,95.4146,52.3415
6 Nov 2021,48.4902,5,91.8039,49.3333
7 Nov 2021,47.9167,5,90.625,48.75
8 Nov 2021,48.8333,5.1333,91.7,49.8667
9 Nov 2021,49.1563,5.1563,92.8125,50.625
10 Nov 2021,47.6471,5.0294,89.2059,49
11 Nov 2021,52.0556,5.3056,98.7222,53.2222
12 Nov 2021,49.3788,5.0455,93.3333,50.4545
13 Nov 2021,46.9375,5.1875,88.875,48.3438
14 Nov 2021,47.4762,5,89.7143,48.7143
15 Nov 2021,52,5.2308,98.9615,53.0385
16 Nov 2021,54.381,5.4286,103.2857,55.8095
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,55,5,104.5,56
21 Nov 2021,45.25,5,83.625,46
22 Nov 2021,49.4717,5.0566,93.2736,50.3679
23 Nov 2021,50.5606,5.1515,95.3712,51.5985
24 Nov 2021,50.375,5.1806,95.2778,51.5
25 Nov 2021,50.6044,4.9341,95,52
26 Nov 2021,50.5,5.1667,95.8667,51.6333
27 Nov 2021,48.4333,5,91.4,49.6
28 Nov 2021,47.4,5.15,89.3,48.45
29 Nov 2021,50.4146,5.2439,95.5854,51.1463
30 Nov 2021,49.6462,4.9846,94.0923,50.7077
