category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Nov 2021,1711309.1846,471291.8769,3490754.8308,1655075.8462
2 Nov 2021,878742.1489,238826.6596,1659536.1702,750638.5532
3 Nov 2021,1193971.0952,395877.1587,2117889.2857,1130004.0476
4 Nov 2021,2061097.7273,526983.3182,4988328.9091,1623749.0909
5 Nov 2021,1858995.6585,865615.5366,4771935.1707,1470244.7317
6 Nov 2021,885619.1731,387954.1538,1323751.5,915049.0385
7 Nov 2021,1057906.9167,412682.3333,1546479.25,1123365.2917
8 Nov 2021,1294886.8276,682879.1379,2353437.5862,1260558.931
9 Nov 2021,2016057.2188,954119.2813,4287558.7188,1871037.5625
10 Nov 2021,2137024.5882,890853.1176,3569394.8529,2074925.9118
11 Nov 2021,1966138.8611,870939.5833,4214758.6667,1879454.1667
12 Nov 2021,1500104.5455,612107.3636,3237877.4242,1247956.9545
13 Nov 2021,1094050.125,472487.2813,2075117.3125,975966.125
14 Nov 2021,714935.3333,362101.2381,1110717.7143,699422.0952
15 Nov 2021,1313839.0833,494497.2083,2588980.875,1328069.9583
16 Nov 2021,1366496.4545,536332,2833041.1818,1291534.2727
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,632222,160859.5,969032,488298.5
21 Nov 2021,1057699.625,376121.625,1477302,1070366.625
22 Nov 2021,1140715.4906,448779.3774,2262431.8491,1005343.8019
23 Nov 2021,1539862.2256,629979.2481,2898502.3459,1444168.8571
24 Nov 2021,1228566.2361,486564.0833,2278728.25,1051279.9306
25 Nov 2021,1522662.25,566211.3696,2686824.6196,1434613.4348
26 Nov 2021,1799142.6129,527299.6452,3629017.5806,1615174.6774
27 Nov 2021,895865.4667,282176.2,1316001,946858.5
28 Nov 2021,1010970.35,439751.7,1638547.25,941712.8
29 Nov 2021,1826802.4146,899334.0244,4479262.9024,1579399.1707
30 Nov 2021,1954293.3538,952848.3231,4659244.9692,1762953.7231
