category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Nov 2021,486262.5938,394967,508775.5156,490581.6563
2 Nov 2021,224726.2222,147037.6667,258207.8667,223056.8444
3 Nov 2021,201699.4286,112937.6825,255739.254,194954.8571
4 Nov 2021,672669.2273,478541.3636,766682.1818,657260.0455
5 Nov 2021,610219.9268,398273,712624.4878,596862.6829
6 Nov 2021,169879.3725,147274.3137,179707.3333,168279.3137
7 Nov 2021,147422.2083,138814.25,152414.2083,148947.6667
8 Nov 2021,264994.1667,151234.7,329426.9333,261230.4667
9 Nov 2021,656576.9688,467018.9688,744524.6563,636409.1875
10 Nov 2021,311481.8529,275890.5,341214.1765,310113.3824
11 Nov 2021,461343.0278,247991.5833,539438.25,410581.6667
12 Nov 2021,417140.8788,309423.8182,484638,402328.7121
13 Nov 2021,228994.625,117426.6563,265940.0313,226976.0938
14 Nov 2021,130344,99388.0952,138065.8095,130984.8571
15 Nov 2021,254939.5385,99233.3846,347251.5,260961.3077
16 Nov 2021,356316.3333,146681.0952,449209,364336.2381
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,183110.5,146594.5,189289,189289
21 Nov 2021,159563.75,155854.25,161450.125,160393.875
22 Nov 2021,275268.8962,182607.7547,313814.8396,271940.5849
23 Nov 2021,336470.5833,255095.5606,376621.9015,332021.7273
24 Nov 2021,268469.0417,166278.1111,321023.9028,271972.875
25 Nov 2021,325549.2198,255549.7582,359997.033,319945.011
26 Nov 2021,506477.8,365802.6333,549294.4333,524784.4333
27 Nov 2021,86934.7333,76314,93379.0333,87677.9333
28 Nov 2021,175692,134248.05,182618.2,182308.15
29 Nov 2021,714204.8537,558100.9756,771954.5122,716871.9756
30 Nov 2021,763691.1385,543095.6615,846509.7385,759215.0923
