category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Nov 2021,4119.6462,2030.7692,4307.6923,4307.6923
2 Nov 2021,13954.3191,3744.6809,18638.2979,18042.5532
3 Nov 2021,21760.6349,12317.4603,22603.1746,22603.1746
4 Nov 2021,10286.8636,5636.3636,11090.9091,11090.9091
5 Nov 2021,20584,14634.1463,20975.6098,20975.6098
6 Nov 2021,615.3846,615.3846,615.3846,615.3846
7 Nov 2021,811.5833,0,1166.6667,1166.6667
8 Nov 2021,51719.1034,5103.4483,64965.5172,64965.5172
9 Nov 2021,7368.6563,5000,7625,7625
10 Nov 2021,7828.9118,2117.6471,9647.0588,9647.0588
11 Nov 2021,22198.6944,11555.5556,23333.3333,23333.3333
12 Nov 2021,19600.7424,11212.1212,22727.2727,22727.2727
13 Nov 2021,12557.1563,1000,15375,15375
14 Nov 2021,0,0,0,0
15 Nov 2021,25344.7917,9000,48500,27000
16 Nov 2021,33612.6364,16181.8182,37090.9091,37090.9091
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0,0,0,0
21 Nov 2021,0,0,0,0
22 Nov 2021,13596.8208,5245.283,14679.2453,14641.5094
23 Nov 2021,11784.5038,2616.5414,13203.0075,13203.0075
24 Nov 2021,9107.9167,4055.5556,9944.4444,9944.4444
25 Nov 2021,6664.1087,2956.5217,7130.4348,7130.4348
26 Nov 2021,129.0323,129.0323,129.0323,129.0323
27 Nov 2021,24638.5,0,30933.3333,30933.3333
28 Nov 2021,1223.7,0,1400,1400
29 Nov 2021,51051.4634,7609.7561,71609.7561,71609.7561
30 Nov 2021,2251.0615,1969.2308,2276.9231,2276.9231
