category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Nov 2021,5263.3538,338.0154,11131.6308,5334.0308
2 Nov 2021,2495,193.2128,5432,2587.2766
3 Nov 2021,3867.8095,229.3968,8166.4762,3861.3492
4 Nov 2021,5998.3636,512.4091,11728.4091,6191.3636
5 Nov 2021,6415.5854,653.9756,12229.5854,6652.8293
6 Nov 2021,2856.6154,125.3269,6667.6731,2674.1923
7 Nov 2021,3376.9167,168.125,7982.2917,3189.4583
8 Nov 2021,4222.3103,306.1034,8936.9655,4278.5862
9 Nov 2021,6941.6875,671.75,13543.6563,7270.0625
10 Nov 2021,7524.2941,413.3529,15589.0588,7646.5882
11 Nov 2021,6811.0556,674.5833,13465.3333,6980.0833
12 Nov 2021,5104.6515,480.8788,10154.4848,5290.7273
13 Nov 2021,3591.0938,190.0625,7737.3438,3526.3125
14 Nov 2021,2435.381,149.8095,5214.4762,2434.7619
15 Nov 2021,4127.6667,191.0417,8642.0833,4175.9583
16 Nov 2021,4463.2727,220.1364,9058.0909,4737.2273
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,1751,253,3647.5,1748
21 Nov 2021,3216,128,7759.75,3084.75
22 Nov 2021,3711.5472,281.8396,7658.0472,3745.9057
23 Nov 2021,4984.0977,259.9323,10623.4511,5018.3233
24 Nov 2021,3832.2778,213.3889,8398.8056,3794.0694
25 Nov 2021,4834.9457,264.8587,10611.663,4719.9565
26 Nov 2021,6230.2581,338.129,12581.7419,6550.8065
27 Nov 2021,2932.5667,92.7333,6721.6,2815.1
28 Nov 2021,3367.45,118.85,7367.75,3294.5
29 Nov 2021,6388.7073,665.4634,12396.8293,6753.0732
30 Nov 2021,6736.2923,638.5385,13601.5077,6877.5846
