category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Nov 2021,0.0615,0,0.1231,0.0615
2 Nov 2021,0.2553,0.0213,0.4681,0.2766
3 Nov 2021,0.4762,0.0159,1.0794,0.6984
4 Nov 2021,0.0909,0.0909,0.0909,0.0909
5 Nov 2021,0.1463,0.0244,0.4146,0.0976
6 Nov 2021,0.3654,0,0.7115,0.3846
7 Nov 2021,0,0,0.2917,0
8 Nov 2021,0.7586,0.1379,1.0345,0.7241
9 Nov 2021,2.0938,0.5313,3.2188,2.4063
10 Nov 2021,3.8529,0.7353,6.7941,3.9118
11 Nov 2021,0.3333,0.0833,0.4167,0.3889
12 Nov 2021,8.6212,0.5,17.6515,9.9545
13 Nov 2021,5.875,1.5938,9.75,5.9063
14 Nov 2021,0,0,0.2381,0
15 Nov 2021,0.0833,0.0833,0.3333,0.0833
16 Nov 2021,0.7273,0.0909,1.6364,0.4091
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0,0,0,0
21 Nov 2021,0,0,0,0
22 Nov 2021,0.3302,0.0189,1.0849,0.3019
23 Nov 2021,1.3233,0.0451,2.1579,1.3008
24 Nov 2021,0.0417,0,0.2361,0.0278
25 Nov 2021,0.3913,0.0761,0.6413,0.5109
26 Nov 2021,0.0968,0,0.4839,0.0323
27 Nov 2021,0.1,0,0.3333,0.2
28 Nov 2021,0.1,0.05,0.2,0.05
29 Nov 2021,0.4146,0.0244,1.439,0.122
30 Nov 2021,2.8923,0.0462,6.4308,3.2154
