category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Oct 2021,215355.0082,210393.4426,238852.459,213065.5738
2 Oct 2021,0,0,0,0
3 Oct 2021,294923,234000,358000,346000
4 Oct 2021,217932.6111,208444.4444,252444.4444,212555.5556
5 Oct 2021,217473.3125,208416.6667,265694.4444,213312.5
6 Oct 2021,216487.781,208644.6281,259669.4215,213479.3388
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,207492.6667,204000,218666.6667,206666.6667
12 Oct 2021,220173.8983,207661.0169,292203.3898,212949.1525
13 Oct 2021,249046.625,215500,391500,257000
14 Oct 2021,212253.4478,206746.2687,243283.5821,210388.0597
15 Oct 2021,204952,204000,216000,204000
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,262597.25,215000,402000,246000
20 Oct 2021,211360.85,207000,238200,208100
21 Oct 2021,0,0,0,0
22 Oct 2021,237823.8333,211333.3333,355333.3333,237000
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,266726.3333,226666.6667,333333.3333,262000
26 Oct 2021,212342.9722,207888.8889,238444.4444,209527.7778
27 Oct 2021,282858.2927,238585.3659,386682.9268,268707.3171
28 Oct 2021,332890,262697.6744,490232.5581,355255.814
29 Oct 2021,649220.8696,479826.087,877739.1304,634391.3043
30 Oct 2021,364228.6087,292347.8261,485739.1304,360695.6522
31 Oct 2021,274010.4091,235636.3636,349636.3636,277000
