category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Oct 2021,0.0656,0,2.3852,0.1148
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,2,0
4 Oct 2021,0,0,1.5625,0
5 Oct 2021,0.007,0,1.0524,0.035
6 Oct 2021,0.0083,0,1.4628,0.1033
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,1.3333,0
12 Oct 2021,0.069,0,2.3966,0.2241
13 Oct 2021,0,0,2.4286,0.2857
14 Oct 2021,0,0,1.1045,0.0149
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1,0,3.75,0.5
20 Oct 2021,0,0,0.3667,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0.1667,0,2.3333,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,1.5,0
26 Oct 2021,0.0685,0,0.7671,0.0822
27 Oct 2021,0.45,0,3.2875,0.725
28 Oct 2021,0.2927,0.0244,2.2927,0.5122
29 Oct 2021,1.4318,0.1364,4.9318,1.5909
30 Oct 2021,0.7391,0,4.0435,0.8261
31 Oct 2021,0.0952,0,2.619,0.2857
