category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Oct 2021,0,0,0.5328,0
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0,0,0.25,0
5 Oct 2021,0,0,0.1608,0.007
6 Oct 2021,0,0,0.157,0.0124
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,0,0
12 Oct 2021,0,0,0.1379,0.0172
13 Oct 2021,0,0,1.2857,0.1429
14 Oct 2021,0,0,0.0149,0
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,0,0,0.25,0
20 Oct 2021,0,0,0.0167,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0.1667,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,0.0137,0,0.1644,0.0137
27 Oct 2021,0,0,0.3875,0.0125
28 Oct 2021,0,0,0.1951,0
29 Oct 2021,0,0,0.4773,0
30 Oct 2021,0,0,0.087,0.087
31 Oct 2021,0,0,0.0952,0
