category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Oct 2021,1500,1500,1500,1500
2 Oct 2021,0,0,0,0
3 Oct 2021,1500,1500,1500,1500
4 Oct 2021,1500,1500,1500,1500
5 Oct 2021,1500,1500,1500,1500
6 Oct 2021,1500,1500,1500,1500
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1500,1500,1500,1500
12 Oct 2021,1500,1500,1500,1500
13 Oct 2021,1500,1500,1500,1500
14 Oct 2021,1500,1500,1500,1500
15 Oct 2021,1500,1500,1500,1500
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1500,1500,1500,1500
20 Oct 2021,1500,1500,1500,1500
21 Oct 2021,0,0,0,0
22 Oct 2021,1500,1500,1500,1500
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1500,1500,1500,1500
26 Oct 2021,1500,1500,1500,1500
27 Oct 2021,1500,1500,1500,1500
28 Oct 2021,1500,1500,1500,1500
29 Oct 2021,1500,1500,1500,1500
30 Oct 2021,1500,1500,1500,1500
31 Oct 2021,1500,1500,1500,1500
