category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Oct 2021,12739.7623,7979.3197,31233.9016,11025.0656
2 Oct 2021,0,0,0,0
3 Oct 2021,93133.5,33158,157343,145656
4 Oct 2021,13851.2222,6045.9444,39988.3889,8998.1111
5 Oct 2021,12961.5417,5565.0451,48845.2222,9426.6285
6 Oct 2021,12130.1612,5717.8264,42264.5826,9933.8512
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,5964.6667,3208,15717.6667,5082.3333
12 Oct 2021,14934.5424,4486.9831,67002.0678,9307.7119
13 Oct 2021,25630.25,12773.5,79083.125,22925.125
14 Oct 2021,9197.3134,4483.3731,36769.3433,7379.2836
15 Oct 2021,3841,2552,15502,3554
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,31099.5,10517.25,102777.75,11451.5
20 Oct 2021,8032.8,4072.6333,33552.05,4836.5333
21 Oct 2021,0,0,0,0
22 Oct 2021,20275,7531.1667,56442.6667,28148.5
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,64108,24617,130207,56007.3333
26 Oct 2021,9054.5694,5400.9722,31078.7639,6417.0694
27 Oct 2021,58278.0366,29003.6585,119490.6341,54131.3415
28 Oct 2021,84227.9535,44569.4884,170698.4186,94679.4419
29 Oct 2021,233461.1957,177124.913,337307.2174,236667.5217
30 Oct 2021,118730.8696,65715.3478,207645.1304,117200.8696
31 Oct 2021,71335.5,33746.0909,142768.5455,70231.0909
