category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Oct 2021,12658.3607,1984.8443,34873.5082,14476.3525
2 Oct 2021,0,0,0,0
3 Oct 2021,14024,3989,32172,7527
4 Oct 2021,6625.5,1767.6875,22282.8125,5733.1875
5 Oct 2021,5481.2552,1214.1678,18315.6713,5108.0524
6 Oct 2021,7897.3926,1441.2521,24864.8471,7985.124
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,3821.6667,1066.3333,11168.3333,3403.6667
12 Oct 2021,15111.8276,1764.7414,39004.3793,19864.6897
13 Oct 2021,11558.8571,2787,32860.8571,9512.2857
14 Oct 2021,5471.5224,1167.5075,19465.7313,5505.1791
15 Oct 2021,1461,535,6381,4159
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,59560.5,8951.75,195306.5,60648.5
20 Oct 2021,2804.3333,812.8167,10112.75,3021.9167
21 Oct 2021,0,0,0,0
22 Oct 2021,12292.5,2440.6667,25884.5,9678.6667
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,10447.5,3406,24392.5,9896
26 Oct 2021,5045.6438,1523.1781,16409.1644,6283.1781
27 Oct 2021,22836.825,6241.5875,57572.3375,22279.7875
28 Oct 2021,14280.7561,4558.0244,36679.9756,14166.4878
29 Oct 2021,41506,23257.5,81634.6591,36563.6818
30 Oct 2021,28071.8261,11123.1304,56045.2174,26723.8261
31 Oct 2021,11938.2381,5437.4762,23866.5714,10560.381
