category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Oct 2021,1230.4344,46.1311,2299.541,1346.3525
2 Oct 2021,0,0,0,0
3 Oct 2021,6.5,0,16.5,1.5
4 Oct 2021,1044.6667,49.9444,2035.1667,1134.2222
5 Oct 2021,821.6979,21.9792,1725.7639,867.0451
6 Oct 2021,875.2521,21.4587,1789.1529,948.1942
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,935.6667,26.3333,1684.3333,1013
12 Oct 2021,615.1525,18.3729,1382.5763,600.4915
13 Oct 2021,671.25,15.5,1443.5,690
14 Oct 2021,749.1791,9.0746,1605.1194,789.8806
15 Oct 2021,726,2,1566,755
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,441.25,14.5,836.25,440.5
20 Oct 2021,719.65,3.1333,1558.6333,767.0667
21 Oct 2021,0,0,0,0
22 Oct 2021,513.5,46.5,1023.5,528
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1.3333,0,2.6667,1.3333
26 Oct 2021,714.0139,1.5278,1571.3472,745.1528
27 Oct 2021,653.7927,26,1281.1951,712.9146
28 Oct 2021,586.3721,47.4419,1133.0233,628.8605
29 Oct 2021,203.6087,5.6087,434.7174,213.4783
30 Oct 2021,203.4348,3.8696,465.087,215.1739
31 Oct 2021,139.0909,0.5455,372.2273,129.9091
