category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Oct 2021,2496140.3443,268299.7049,4385714.0164,2550375.7869
2 Oct 2021,0,0,0,0
3 Oct 2021,1318495,1183,2670493,1300381
4 Oct 2021,4555428.0625,411500.75,7991183.5,4501000
5 Oct 2021,4485933.0944,462818.1049,7884174.3042,4597159.7378
6 Oct 2021,4083556.719,527595.7934,7156436.8967,4183421.8223
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,3896981.6667,414663.6667,6968997,4182063.6667
12 Oct 2021,3832885.7931,633443.5517,6543481.6207,3940809.3448
13 Oct 2021,3150498.5714,351861.4286,5285582.2857,3326250.7143
14 Oct 2021,4388780.0746,745168.9403,7664632.2836,4524580.5522
15 Oct 2021,4934957,1375457,8318057,5126757
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,4147197,672909.25,7398598.25,4267148.25
20 Oct 2021,4703284.05,653116,8189339.3333,4825921
21 Oct 2021,0,0,0,0
22 Oct 2021,4223660.8333,341807.5,7745487,4355270.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,318089,49058.5,557426.5,318593.5
26 Oct 2021,4432371.2192,553117.3699,7511631.1507,4601367.3151
27 Oct 2021,2326135.375,240377.2375,4184636.0125,2382776.8625
28 Oct 2021,2688665.5122,446347.6829,4659504.3171,2777580.2195
29 Oct 2021,590996.4545,52398,1032608.2727,612309.5682
30 Oct 2021,781316.4783,41893.1304,1470885.3478,796543.6957
31 Oct 2021,1306882.381,90854.0476,2271550.9048,1336129.619
