category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Oct 2021,2823318.9098,1111864.8197,3356604.2623,3046520.4918
2 Oct 2021,0,0,0,0
3 Oct 2021,418088.5,184644,608790,498405
4 Oct 2021,2742264.2778,1096008.4444,3346155.5556,2995144.4444
5 Oct 2021,2721054.4583,1115367.3403,3300584.5833,2957441.3056
6 Oct 2021,2745563,1164299.5661,3284506.4917,2953260.4793
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1956770,1260096.6667,2223666.6667,1952533.3333
12 Oct 2021,1311543.9153,399000,1691437.2881,1437207.8644
13 Oct 2021,2211825.375,496486,2950675,2579937.5
14 Oct 2021,2682661.6866,1042766.209,3189269.4925,2923922.0896
15 Oct 2021,1556600,851200,1755600,1484000
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1950102.25,988750,2389800,2149175
20 Oct 2021,3265457.0833,1315832.1333,3871770,3496383.3333
21 Oct 2021,0,0,0,0
22 Oct 2021,2339323.8333,1323033.3333,2956566.6667,2587433.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1192610.3333,415548,1577940,1323042
26 Oct 2021,3218537.5694,1294066.9444,3790136.1389,3473406.8056
27 Oct 2021,1677351.439,743441.6829,2055343.6829,1783376.8902
28 Oct 2021,1860037.0233,840401.4186,2299823.1628,1994502.6977
29 Oct 2021,1114412.5217,393572.8261,1615542.7391,1141332.5
30 Oct 2021,555385.913,203841.3913,747942,592910.4348
31 Oct 2021,501068.5909,186711.8182,674716.9091,539305.2273
