category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Oct 2021,1788.8852,196.2787,3140.3115,1827.6475
2 Oct 2021,0,0,0,0
3 Oct 2021,988,3,1998,974
4 Oct 2021,3259.5625,296.9375,5716.125,3220.5
5 Oct 2021,3209.2203,334.0734,5637.979,3288.6958
6 Oct 2021,2921.9835,380.9793,5118.281,2993.281
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,2788.6667,299.3333,4983.6667,2992
12 Oct 2021,2742.5517,456.2759,4680,2819.4828
13 Oct 2021,2270.4286,260.5714,3801,2396.5714
14 Oct 2021,3140.8657,536.9701,5482.1194,3237.8507
15 Oct 2021,3529,1001,5945,3666
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,3034,485.5,5399,3089.25
20 Oct 2021,3363.3333,470.05,5853.6,3451.1167
21 Oct 2021,0,0,0,0
22 Oct 2021,3022.1667,246.5,5538.6667,3117.6667
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,226.5,37.5,393,227
26 Oct 2021,3170.5753,399.3699,5370.3288,3291.3836
27 Oct 2021,1684.8125,176.8625,3028.5875,1726.0125
28 Oct 2021,1930.3902,325.8537,3341.2439,1994.2195
29 Oct 2021,441.0227,43.5909,766,457.9773
30 Oct 2021,595.3478,35.3478,1113.3478,611.0435
31 Oct 2021,981.0952,75.381,1702.6667,1002.2857
