category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Oct 2021,52.4672,5.2377,99.4918,53.5656
2 Oct 2021,0,0,0,0
3 Oct 2021,40,2,78,42
4 Oct 2021,50.6875,5.25,96.6875,51.75
5 Oct 2021,49.7832,5.1049,94.3916,50.8531
6 Oct 2021,50.1983,5.1198,95.3388,51.2934
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,55.3333,6.3333,104.6667,57.6667
12 Oct 2021,49.3621,5,93.4655,50.569
13 Oct 2021,46,2.7143,89.5714,47.2857
14 Oct 2021,49.5672,4.9851,93.8955,50.4627
15 Oct 2021,49,5,92,49
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,50.75,2,98.25,52.25
20 Oct 2021,47.9167,5.0333,90.6833,49.1333
21 Oct 2021,0,0,0,0
22 Oct 2021,47.3333,2.3333,91.8333,48.1667
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,44,2,86,45
26 Oct 2021,49.6712,4.8767,94.3836,50.6849
27 Oct 2021,49.55,4.725,94.4125,50.4375
28 Oct 2021,47.4146,4.2683,90.1707,48.4878
29 Oct 2021,45.1136,4.2273,85.5682,46.1818
30 Oct 2021,47.3913,4.8696,89.5217,48.913
31 Oct 2021,49.1905,4.7619,93.4762,50.0476
