category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Oct 2021,0,0,0,0
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0,0,0,0
5 Oct 2021,0,0,0,0
6 Oct 2021,0,0,0,0
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,0,0
12 Oct 2021,0,0,0,0
13 Oct 2021,0,0,0,0
14 Oct 2021,0,0,0,0
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,0,0,0,0
20 Oct 2021,0,0,0,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,0,0,0,0
27 Oct 2021,0,0,0,0
28 Oct 2021,0,0,0,0
29 Oct 2021,0,0,0,0
30 Oct 2021,0,0,0,0
31 Oct 2021,0,0,0,0
