category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Oct 2021,9126.8607,533.1803,17434.2623,9613.418
2 Oct 2021,0,0,0,0
3 Oct 2021,2411.5,197,5637,2420
4 Oct 2021,9134.5,702.3333,17758.2778,9593.1111
5 Oct 2021,8832.4132,650.5208,17012.1493,9310.8924
6 Oct 2021,9000.3843,676.8719,17124.0165,9475.9835
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,9251,847.6667,17013.6667,9504.3333
12 Oct 2021,5959.7627,185.2373,13201.2203,5821.5593
13 Oct 2021,5136.625,131.625,10782.625,5166.375
14 Oct 2021,8418.8209,568.0299,16153.3433,8909.8806
15 Oct 2021,10442,354,19410,11203
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,5720.75,696.5,10606.75,6023.75
20 Oct 2021,9605.25,702.6833,18558.7,10090.25
21 Oct 2021,0,0,0,0
22 Oct 2021,7039.8333,932.3333,13012.8333,7504.8333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,4582.6667,79,10419.6667,4545.3333
26 Oct 2021,9352.8333,674.8889,17795.8472,9870.0972
27 Oct 2021,5711.8293,428.2195,11337.1829,5999.0976
28 Oct 2021,4968.9767,434.7209,9851.9767,5237.6047
29 Oct 2021,3170.587,148.087,6814.413,3253.2826
30 Oct 2021,2532,137.6522,5702.4783,2619.3478
31 Oct 2021,2946.9545,114.5455,7094.5,2834.1818
