category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Oct 2021,31648.3607,5002.1148,58474.5738,32219.3689
2 Oct 2021,0,0,0,0
3 Oct 2021,22690,579,44891,23842
4 Oct 2021,31500.5625,5040.625,58438.1875,32078.9375
5 Oct 2021,30585.9371,4854.2448,56412.0594,31207.7063
6 Oct 2021,30595.9256,4883.7066,56362.6405,31225.0868
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,34164.3333,6274,62145,35150.3333
12 Oct 2021,29540.7069,4756,54625.9828,30053.6724
13 Oct 2021,26707.2857,1244.1429,52331.2857,27503.1429
14 Oct 2021,29983.8209,4720.0597,55280.2687,30490.3134
15 Oct 2021,29874,4756,55038,29881
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,28849.75,582.75,56631,29745.75
20 Oct 2021,29506.7667,4767.8,54291.4167,30167.35
21 Oct 2021,0,0,0,0
22 Oct 2021,26088.1667,651.3333,51766.6667,26678.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,24729,579,48969.5,25298
26 Oct 2021,30395.9863,4570.7397,56210.7808,30968.137
27 Oct 2021,30147.075,4306.8625,56154.9625,30600.1625
28 Oct 2021,28558.8293,3684.7073,53513.1951,29159.2439
29 Oct 2021,27214.8636,3636,50791.7273,27805.1591
30 Oct 2021,29032,4574.3913,53530.5217,29891.8261
31 Oct 2021,30150.2381,4383.9048,55985.1429,30658.7143
