category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Oct 2021,1720750.7131,64016.8197,3216999.2459,1882729.4098
2 Oct 2021,0,0,0,0
3 Oct 2021,8645.5,0,22077,2007
4 Oct 2021,1461939.6667,69444.7778,2848527.4444,1586971.8889
5 Oct 2021,1150006.9826,30559.0764,2415641.3681,1213243.3542
6 Oct 2021,1224952.3967,29815.5372,2504423.3802,1326974.5207
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1309959,36866.6667,2358029.3333,1417929.3333
12 Oct 2021,860862.8814,25404.339,1935260.8814,840199.8644
13 Oct 2021,939034.625,21547,2020413.5,965163.5
14 Oct 2021,1048848.5672,12634.1791,2247096.8657,1105605.8209
15 Oct 2021,1016800,2800,2192400,1057000
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,617388.25,20300,1170750,616350
20 Oct 2021,1007435.2167,4360.6667,2182060.6667,1073669
21 Oct 2021,0,0,0,0
22 Oct 2021,717538.1667,63599.3333,1431399.3333,737466
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1845.3333,0,3808,1904
26 Oct 2021,999404.7917,2086.1389,2199656.8056,1042848.1528
27 Oct 2021,913625.5732,35859.6829,1791301.878,996261.2805
28 Oct 2021,822666.3488,65848.3256,1589437.6279,882668.0465
29 Oct 2021,282401.6087,7454.6087,602721.7826,296394.9783
30 Oct 2021,271957.7391,5076.9565,621952.5217,287452.5217
31 Oct 2021,185947.5,613.7273,497886.6364,173604.0909
