category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Oct 2021,1874.9098,280.2295,3602.582,1880.8689
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,1318.4375,284.625,2779.125,1317.75
5 Oct 2021,790.8706,98.2448,1541.4685,803.8916
6 Oct 2021,871.8182,144.9669,1581.8967,911.3264
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,2165.6667,1518,2831,1994
12 Oct 2021,198.2586,0,608.8793,140.8966
13 Oct 2021,2469.4286,57.7143,4963.8571,2755.8571
14 Oct 2021,197.4776,26.1791,341.8209,222.791
15 Oct 2021,24,0,43,43
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1232.5,0,1862.25,1249
20 Oct 2021,32.2333,11.8,48.35,36.1667
21 Oct 2021,0,0,0,0
22 Oct 2021,332.5,67.3333,773.1667,346
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,19.5,0,43,21.5
26 Oct 2021,546.0959,43.2055,1064.9726,550.2466
27 Oct 2021,1203.775,123.325,2389.8625,1204.5375
28 Oct 2021,1144.439,150.1463,2164.6829,1147.9024
29 Oct 2021,305.1591,112.4091,436.2273,322.0227
30 Oct 2021,124.3913,0,197.3478,182.3913
31 Oct 2021,70.7619,25.7143,101.9048,93.7143
