category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Oct 2021,13.4016,0.9426,17.3607,15.082
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0.0556,0.0556,0.0556,0.0556
5 Oct 2021,1.1736,0.1042,1.8125,1.316
6 Oct 2021,1.4256,0.3884,1.9504,1.5372
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,3.6667,0,3.6667,3.6667
12 Oct 2021,0.1017,0.0847,0.1186,0.1017
13 Oct 2021,0.625,0,1.125,0.375
14 Oct 2021,0.1194,0,0.2836,0.1194
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,0,0,0,0
20 Oct 2021,0,0,0,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0.1667,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,0.0139,0,0.0139,0.0139
27 Oct 2021,4.6707,0.1585,10.7927,5.6951
28 Oct 2021,0.8372,0.0233,1.4419,1.1163
29 Oct 2021,0.6957,0.0435,1.9565,0.3913
30 Oct 2021,0.1304,0,2.5217,0
31 Oct 2021,0,0,0,0
