category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Sep 2021,0,0,0,0
2 Sep 2021,76.375,17,286.25,53.75
3 Sep 2021,69.3,25.8,168,94.9
4 Sep 2021,69.2,32.2,101.2,59.2
5 Sep 2021,76.25,24.5,126.25,63.75
6 Sep 2021,80.7353,20.8235,270.3529,49.6765
7 Sep 2021,118.2857,22.4286,205,150.5714
8 Sep 2021,37.1667,19.6667,55.3333,40.1667
9 Sep 2021,123,14.6667,262,130
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,69.7273,16,294.1818,36.6818
14 Sep 2021,80.75,27.9583,217.625,57.7083
15 Sep 2021,50.6667,11.7083,184.8333,42.4167
16 Sep 2021,27.9167,9.5833,151.3333,16.5417
17 Sep 2021,26.25,8.5417,162.125,17.4167
18 Sep 2021,17.4583,7.7083,108.1667,11.25
19 Sep 2021,16.5,8,82,12.7
20 Sep 2021,42.4286,10,246.2857,21.5714
21 Sep 2021,59.1053,15.4737,214.6316,30.6842
22 Sep 2021,53,14.6667,101.3333,44.6667
23 Sep 2021,102,65,152,107
24 Sep 2021,46,10.2,249.4,13.8
25 Sep 2021,48,9.3,266.1,16.9
26 Sep 2021,0,0,0,0
27 Sep 2021,65.2222,15.4444,293,32.7778
28 Sep 2021,44.65,12.15,217.45,25
29 Sep 2021,63.0909,16.5455,242.0909,34.8636
30 Sep 2021,0,0,0,0
