category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Sep 2021,0,0,0,0
2 Sep 2021,33.25,0,182.875,23.25
3 Sep 2021,18.6,0,76.4,33.6
4 Sep 2021,0.8,0,11.2,0
5 Sep 2021,6,0,23.5,6.25
6 Sep 2021,32.2059,0.1765,146.7353,20.7353
7 Sep 2021,4.2857,0,26,24.7143
8 Sep 2021,0.5,0,6.1667,0
9 Sep 2021,5.6667,0,108.6667,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,27.1818,0,154,13.5
14 Sep 2021,12.4583,0,90.125,8
15 Sep 2021,14.625,0,73.8333,7.375
16 Sep 2021,8.8333,0.1667,63.125,4
17 Sep 2021,8.2083,0,77.625,5.75
18 Sep 2021,3,0,31.5833,2
19 Sep 2021,2.2,0,11.2,3.9
20 Sep 2021,9.4286,0,105.2857,7.5714
21 Sep 2021,16.8421,0.1053,80.8421,5.2105
22 Sep 2021,0.6667,0,10.3333,0
23 Sep 2021,0,0,0,0
24 Sep 2021,6,0,68,2.4
25 Sep 2021,4.1,0,30.7,5.2
26 Sep 2021,0,0,0,0
27 Sep 2021,26,0,174.1111,9.8889
28 Sep 2021,16.1,0,109.35,7.1
29 Sep 2021,27.1818,0,143.0227,12.5909
30 Sep 2021,0,0,0,0
