category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Sep 2021,0,0,0,0
2 Sep 2021,4.875,0,25.375,3.5
3 Sep 2021,2,0,8.9,3.9
4 Sep 2021,0,0,0.6,0
5 Sep 2021,1.5,0,5.5,2.75
6 Sep 2021,4.2647,0.0294,19.5588,3.6765
7 Sep 2021,0,0,0.7143,0.1429
8 Sep 2021,0.5,0,4,0
9 Sep 2021,0.3333,0,4,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,3.5909,0,19,3.0455
14 Sep 2021,1.6667,0,10.9167,1.3333
15 Sep 2021,2.625,0,17.2083,1.3333
16 Sep 2021,1.8333,0.0417,14.3333,0.8333
17 Sep 2021,1.9583,0,18.9167,1.5833
18 Sep 2021,0.7917,0,7.9167,1.25
19 Sep 2021,0.8,0,3.4,1.5
20 Sep 2021,2,0,15.2857,2.4286
21 Sep 2021,3.7368,0,24.8421,1.2632
22 Sep 2021,0,0,0.3333,0
23 Sep 2021,0,0,0,0
24 Sep 2021,1.2,0,14.4,0.8
25 Sep 2021,1,0,5.7,1.4
26 Sep 2021,0,0,0,0
27 Sep 2021,3.6667,0,28.6667,2
28 Sep 2021,2.5,0,17.8,1.6
29 Sep 2021,4.0455,0,21.8864,2.6591
30 Sep 2021,0,0,0,0
