category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Sep 2021,0,0,0,0
2 Sep 2021,3,3,3,3
3 Sep 2021,3,3,3,3
4 Sep 2021,3,3,3,3
5 Sep 2021,3,3,3,3
6 Sep 2021,8.8235,3,11.7353,11.7353
7 Sep 2021,3,3,3,3
8 Sep 2021,6.8333,6.8333,6.8333,6.8333
9 Sep 2021,3,3,3,3
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,3,3,3.2727,3
14 Sep 2021,3.25,3,3.5833,3.2083
15 Sep 2021,3.0833,3,3.125,3.125
16 Sep 2021,3,3,3,3
17 Sep 2021,3,3,3,3
18 Sep 2021,3,3,3,3
19 Sep 2021,3,3,3,3
20 Sep 2021,3,3,3,3
21 Sep 2021,13.1053,3,18.6316,18.6316
22 Sep 2021,3.6667,3.6667,3.6667,3.6667
23 Sep 2021,3,3,3,3
24 Sep 2021,3,3,3,3
25 Sep 2021,3,3,3,3
26 Sep 2021,0,0,0,0
27 Sep 2021,3,3,3,3
28 Sep 2021,3,3,3,3
29 Sep 2021,3,3,3,3
30 Sep 2021,0,0,0,0
